,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
NTD10pp,56.3467883262616,59.1737106068355,55.212416913096284,37.093781634583,26.046198161203108,43.7213408587731,31.2502376412898,33.372056094922,33.3135522440452,62.725485451661605,62.398942645409,67.7048731991564,87.8499055952187,89.62662657453457,91.68119130959299,49.6599459563554,44.125291353693896,48.805129311723,55.0258936205019,59.176829079494105,69.49186786319879,47.3572635344982,36.9548244006902,47.8695156910902
NTD11pp,56.3467883262616,59.1737106068355,55.212416913096284,37.093781634583,26.046198161203108,43.7213408587731,31.2502376412898,33.372056094922,33.3135522440452,62.725485451661605,62.398942645409,67.7048731991564,87.8499055952187,89.62662657453457,91.68119130959299,49.6599459563554,44.125291353693896,48.805129311723,55.0258936205019,59.176829079494105,69.49186786319879,47.3572635344982,36.9548244006902,47.8695156910902
NTD2,34.1452936295413,27.728348082639297,36.2421039004056,155.10729123403098,156.971376526078,172.190015855913,160.355103519979,148.292375452898,164.272900897608,25.773014961830697,25.3871969902208,32.2433130542573,186.685340354299,149.93317864376004,252.97960807336497,137.819495308698,118.917019433555,133.90501344006398,32.2839332840621,45.3871667476984,46.5222807433647,270.226264538129,219.94441387956695,322.896344278529
NTD2pp,56.3467883262616,59.1737106068355,55.212416913096284,37.093781634583,26.046198161203108,43.7213408587731,31.2502376412898,33.372056094922,33.3135522440452,62.725485451661605,62.398942645409,67.7048731991564,87.8499055952187,89.62662657453457,91.68119130959299,49.6599459563554,44.125291353693896,48.805129311723,55.0258936205019,59.176829079494105,69.49186786319879,47.3572635344982,36.9548244006902,47.8695156910902
NTD3pp,56.3467883262616,59.1737106068355,55.212416913096284,37.093781634583,26.046198161203108,43.7213408587731,31.2502376412898,33.372056094922,33.3135522440452,62.725485451661605,62.398942645409,67.7048731991564,87.8499055952187,89.62662657453457,91.68119130959299,49.6599459563554,44.125291353693896,48.805129311723,55.0258936205019,59.176829079494105,69.49186786319879,47.3572635344982,36.9548244006902,47.8695156910902
NTD4pp,56.3467883262616,59.1737106068355,55.212416913096284,37.093781634583,26.046198161203108,43.7213408587731,31.2502376412898,33.372056094922,33.3135522440452,62.725485451661605,62.398942645409,67.7048731991564,87.8499055952187,89.62662657453457,91.68119130959299,49.6599459563554,44.125291353693896,48.805129311723,55.0258936205019,59.176829079494105,69.49186786319879,47.3572635344982,36.9548244006902,47.8695156910902
NTD5,34.1452936295413,27.728348082639297,36.2421039004056,155.10729123403098,156.971376526078,172.190015855913,160.355103519979,148.292375452898,164.272900897608,25.773014961830697,25.3871969902208,32.2433130542573,186.685340354299,149.93317864376004,252.97960807336497,137.819495308698,118.917019433555,133.90501344006398,32.2839332840621,45.3871667476984,46.5222807433647,270.226264538129,219.94441387956695,322.896344278529
NTD5pp,56.3467883262616,59.1737106068355,55.212416913096284,37.093781634583,26.046198161203108,43.7213408587731,31.2502376412898,33.372056094922,33.3135522440452,62.725485451661605,62.398942645409,67.7048731991564,87.8499055952187,89.62662657453457,91.68119130959299,49.6599459563554,44.125291353693896,48.805129311723,55.0258936205019,59.176829079494105,69.49186786319879,47.3572635344982,36.9548244006902,47.8695156910902
NTD6pp,56.3467883262616,59.1737106068355,55.212416913096284,37.093781634583,26.046198161203108,43.7213408587731,31.2502376412898,33.372056094922,33.3135522440452,62.725485451661605,62.398942645409,67.7048731991564,87.8499055952187,89.62662657453457,91.68119130959299,49.6599459563554,44.125291353693896,48.805129311723,55.0258936205019,59.176829079494105,69.49186786319879,47.3572635344982,36.9548244006902,47.8695156910902
NTD7pp,56.3467883262616,59.1737106068355,55.212416913096284,37.093781634583,26.046198161203108,43.7213408587731,31.2502376412898,33.372056094922,33.3135522440452,62.725485451661605,62.398942645409,67.7048731991564,87.8499055952187,89.62662657453457,91.68119130959299,49.6599459563554,44.125291353693896,48.805129311723,55.0258936205019,59.176829079494105,69.49186786319879,47.3572635344982,36.9548244006902,47.8695156910902
