,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
SPMS,54.321003662055,51.198657053431994,38.9435227660978,0,0,0,38.0973407058746,69.4044456262411,29.8976988635753,15.5125660604124,14.879370969948699,12.8525662657519,0,0,0,72.66577988515999,64.573206993772,57.075538513158506,31.355958720973,28.706066534612305,29.3075402231769,28.305978250213,38.0402910390443,39.5268983914287,0,0,0,31.3499719498775,31.675358292113,29.9460200011838,61.5250506154562,51.586046470293596,66.21698024631449,0,0,0,18.8280390631576,23.5601601522079,19.109084070772802,26.6449732260355,28.4279290833616,30.1018065718154
SSALx,231.68004035371143,184.61888623928223,231.90239685876327,0,0,0,324.0037725772757,216.3302825564308,329.88422018822774,548.1791556182818,413.46403011305586,477.20567668738494,0,0,0,229.10132399748198,218.5476103792379,206.36182607580167,348.40878271128884,304.99291849620806,269.0332844893659,275.4841161239612,219.05960701794476,281.9726334447373,0,0,0,230.4126772757869,362.40559810952345,364.11771667451166,283.9824388669746,249.26590930090234,246.02925269211968,0,0,0,562.993560584791,496.08449367219026,495.9787269394808,561.2097485733741,463.7885878347827,553.3066186800522
SSALy,272.85267387141744,213.76162464681482,273.60965349858424,0,0,0,389.086729616478,263.9375369807381,394.1060304744011,701.0447072599616,549.0628259335317,605.5869284879856,0,0,0,276.7831391131376,247.97337559158967,241.95732321304027,406.4630511124537,350.54662609521495,318.905776665755,315.1829569894053,252.1028154902838,335.6615756448598,0,0,0,267.8210793877575,399.62604310505185,412.5373128650309,314.1628494308883,281.6571477822494,281.6412203293154,0,0,0,712.738058180558,671.1342817189682,751.5014793217372,743.3163854380803,571.0892578467586,626.2592322540988
SSCOARy,0.0959735047032773,0.0,0.376872800962237,0,0,0,0.0881882886710059,0.0912016368281749,0.0776563606846111,0.0,0.21055713636719894,0.216616285377841,0,0,0,0.163293887382382,0.204345591752443,0.15342886697085598,0.0,0.0723074723793762,0.0993475939768709,1.23324801505077,1.43666123792778,1.9728220231016105,0,0,0,2.21180783695455,1.13940137741414,1.58849222010209,2.14934674639148,3.1324860259739,2.94158607899507,0,0,0,1.5836668370880205,2.86244936428694,5.0222592750108,6.661243306508889,4.30214950519715,2.5498000860831898
St,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SUCBZL,38.581348890717486,42.9548054939811,54.0603095602498,0,0,0,40.037483056636695,39.034300562458895,46.3608473287129,41.60655135408628,58.32432677371406,39.279753081848526,0,0,0,77.7278903940139,84.9055933731401,115.30179352859852,38.508776890744,38.6844977229663,50.766620522181,54.55654314200804,42.037957092408604,45.51582239013004,0,0,0,64.6232550623242,61.603634472190905,66.89317237985462,33.762655141232806,40.1891292268567,29.4784477278017,0,0,0,269.1353808140138,301.43793690067815,375.1995160819037,37.6164327896972,40.4064629997928,40.867629157500005
SUCBZS,94.91779615154131,91.18856856550525,92.2082119687607,0,0,0,51.766525449880426,55.35939355470217,61.42618130152735,49.72239717377224,51.6566841220861,44.839571073213186,0,0,0,56.66297892168656,70.80574754222151,67.81555920111842,50.48558870989548,57.195210652086544,46.196631199244926,93.08086208835596,76.01811854600477,72.43075141958772,0,0,0,57.60316931894672,96.84911708020152,62.65719312624906,74.9584677804029,85.84344683945507,69.78443570381914,0,0,0,55.604302279979436,37.101747529411504,26.21374353298321,20.57148668186563,21.42639165333482,27.76448982623916
SUCBZT1,7.00606584333925,8.89468194572335,6.95120943997015,0,0,0,3.7920964128532497,10.2145833247556,5.20297616586895,1.02732225565645,1.12297139395839,0.722054284592804,0,0,0,10.9406904546196,6.6412317319544005,6.8275845802031,9.89750421165991,11.713810525458904,10.2328021796177,11.745219190959697,11.930534628009,11.2028107740413,0,0,0,6.92392018524902,9.34309129479591,8.8837898235339,8.23916252783401,8.46437713401459,11.077887999619696,0,0,0,4.39907454746672,3.41292039588058,2.2048943158584,11.7551352467804,9.95399297280909,11.119961486529501
SUCBZT2,7.00606584333925,8.89468194572335,6.95120943997015,0,0,0,3.7920964128532497,10.2145833247556,5.20297616586895,1.02732225565645,1.12297139395839,0.722054284592804,0,0,0,10.9406904546196,6.6412317319544005,6.8275845802031,9.89750421165991,11.713810525458904,10.2328021796177,11.745219190959697,11.930534628009,11.2028107740413,0,0,0,6.92392018524902,9.34309129479591,8.8837898235339,8.23916252783401,8.46437713401459,11.077887999619696,0,0,0,4.39907454746672,3.41292039588058,2.2048943158584,11.7551352467804,9.95399297280909,11.119961486529501
SUCCt2_2,2.5912846269884904,4.555812703907081,2.51248533974825,0,0,0,3.5275315468402404,2.9184523785016,3.4945362308075,3.5956278947975804,3.57947131824238,2.9604225668305,0,0,0,2.7759960855005,2.04345591752443,1.99457527062113,2.49516912898989,1.30153450282877,3.079775413283,5.57897911570588,6.121426144214031,5.425260563529428,0,0,0,5.48143681332214,2.65860321396632,3.76531489209384,4.29869349278296,3.46572922022645,4.13073789816329,0,0,0,3.07935218322671,7.48640602967353,10.901977450633199,3.42858111364428,3.54294665133883,2.6914556464211405
SUCCt2_2pp,27.44842234513729,21.76666069644498,18.42489249148715,0,0,0,32.27691365358814,26.904482864311596,21.2778428275834,46.22950150454028,30.039484788386982,25.560721674585302,0,0,0,13.553392652737699,14.20201862679483,14.192170194804229,72.11038782780788,39.91372475341567,42.918160598008214,27.190182427071782,45.286060760767036,49.03871885995432,0,0,0,51.92940138936765,31.29555783297492,39.00630896028464,23.553258095873357,20.19453757170415,29.916556292758393,0,0,0,42.49506012852851,76.07509656624133,114.4095161673192,97.07782524632798,77.43869109354873,68.98625788458405
SUCCt2r,8.82956243270152,12.582720801267172,9.58931904670581,0,0,0,11.288100949888761,10.48818823524012,30.984887913159803,14.79344048145288,15.51104237905028,18.990027684790803,0,0,0,10.287514905090081,12.975945076280128,8.66873098385337,108.95571863255888,17.78763820532657,17.0877861640218,14.446619604880489,14.554002975529272,15.85303411420933,0,0,0,48.563606854871644,10.25461239672722,37.77081501131634,10.20939704535953,12.59659274274613,10.389431683259179,0,0,0,26.83435473954701,49.76258125606523,129.1088116063752,16.065351503933183,13.328227878846072,16.21956165869584
SUCD1,533.3247656361118,399.10365575973333,394.83707114143795,0,0,0,428.33051807507593,822.8211674637934,360.17020085522677,472.36277315083595,378.2308026276113,474.6784866913107,0,0,0,872.9691219462148,499.21628065121797,561.1660809459064,550.8501713766683,593.2105034004026,711.8255108442795,503.28264233262416,910.4684436537108,600.865221893234,0,0,0,546.4127012859013,298.97892143346905,362.6468905447881,609.9666954030157,402.1578868239689,734.7706503702573,0,0,0,391.6056162154877,494.43308057741,799.151695370009,810.6145347258969,750.682910720578,566.4805857914818
SUCD3,73.2277840886006,59.225565150792,39.152896544410204,0,0,0,47.4452993050012,31.373363068892196,51.175541691158706,128.312549731491,101.69909686535699,99.7156967022662,0,0,0,17.1458581751501,18.5954488494723,24.855476449278697,132.327136140764,165.294881859254,128.158396230163,59.548261298165905,61.5890426346432,64.1871736801988,0,0,0,68.4698773874625,72.08612714440099,68.3051654643898,51.13654134123071,39.9225346714546,31.543816676883303,0,0,0,153.615683197538,147.19595384814,110.61219817889601,133.12690666978799,149.141182846835,128.977387687708
SUCDi,13.9161581819752,16.4153886315382,13.3999218119907,0,0,0,10.141653197165699,15.048270076648901,10.3282959710533,13.3551893235339,25.547599212553397,16.8960702594716,0,0,0,19.4319725985035,16.3476473401954,17.1073186672505,14.721497861040401,19.7399399595697,16.5910481941374,12.273754054552901,8.61996742756669,8.5958673863713,0,0,0,9.231893580332029,11.3180536823137,10.354615953258099,9.85117258762762,14.1295114363078,9.32545373979288,0,0,0,14.165020042842901,11.339703250829,7.962118362821999,24.685784018238802,17.2085980207886,15.723767197513
SUCOAS,2941.299998641344,1804.824975620843,1611.1730988692223,0,0,0,2853.067515084388,6579.924492242336,1102.0990708360007,1667.549485381549,1006.3227404109646,1099.327648292544,0,0,0,8783.41490841095,4620.253829522737,3319.9705379488764,2235.172505749146,1587.365941144443,3149.517424254756,827.2157876192953,2553.883972778924,2114.7947508355273,0,0,0,791.634874513472,547.5963019852333,728.8237638009139,1049.9558856122385,861.0337653097205,2461.794613429618,0,0,0,712.210169234862,1256.2849883030124,1803.1135738575374,2235.5328455564645,2248.674497255696,1570.2518863462299
