,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
OPTCCL,3212.3873320780344,2944.1480507378137,2176.282015289818,0,0,0,2683.8312131394414,3807.6026398639665,1566.802650868793,1385.0133426803582,1055.7228599246484,1331.5691592923408,0,0,0,4342.149066521169,3756.523452308054,3291.192431431409,2346.231434764482,2154.2304851806425,3041.948123211115,2150.2575506047333,3766.994614248547,3477.2185982803453,0,0,0,2422.7885589414286,2175.501010591699,2396.64644680783,2649.3455652379835,2292.136497831824,3633.077640210567,0,0,0,1599.9670840760984,2052.080994014182,2334.547170006234,4423.895553962886,3448.1397030344287,2864.6538131440134
ORNabc,1187.7452987822405,1221.606754824294,1502.0441059829543,0,0,0,750.5281625114492,950.3079650524946,820.9214119958845,526.2572286522959,654.5154882350184,567.4300394711677,0,0,0,1252.8354793508977,1225.2118922980655,1370.0649090409206,563.5603363734751,747.5407076359566,705.5469031021972,2116.0722159369343,1380.988952211967,1360.8647451160862,0,0,0,1258.416977934452,1265.504856161267,1097.9777805752974,1155.2439536732363,1260.9078567964546,880.9448188958224,0,0,0,1083.7165012500036,977.9748897144433,898.4512627391142,491.54395044031986,567.6515945183428,625.0453627988375
ORNabcpp,2138.611949077344,1606.358158652491,1754.0911046175554,0,0,0,1642.7429001618598,1625.6106083747181,1657.2124980049052,4860.703130097576,4682.931664263282,4344.412509610365,0,0,0,1235.7254348681045,1251.3814666966623,1271.820358848934,1192.966210330103,1234.1156276963,966.9462475302247,2185.810298659253,2101.6630183741895,1960.4983368459577,0,0,0,2133.9348398070047,2007.4745097736422,1827.4514775888206,1668.2223157736207,1527.056407492562,1740.0299648661878,0,0,0,5831.378111168521,6034.476776901177,5282.322979659804,1182.6707113842497,1345.471772474268,1217.1068014394236
ORNCD,18.99498596359183,28.624830919384,25.3509553752398,0,0,0,89.3241451963011,271.81993190328325,29.835249554916505,41.86137046097808,33.50204122051908,22.69720157884676,0,0,0,406.8388354796545,177.23939024505972,132.18357662193966,20.33465131244503,25.2547536363498,33.5423937540389,29.3993878143095,31.99763764998764,35.27256421940427,0,0,0,26.870113407853133,39.7957501937506,24.65826581454187,100.09333894641739,60.5235771262296,49.54859196436386,0,0,0,17.413214103261005,26.91674008388372,29.948375424637128,52.461767332377605,43.212232108662796,42.879101405724995
ORNt,119.55667635907801,134.705086679454,137.967699446017,0,0,0,135.526289263353,167.763864221558,87.6975517220273,46.6455270850899,34.3191641771171,63.888419258976,0,0,0,161.594864559676,161.77555082770598,144.687428464556,128.786124978818,124.590117939326,128.386403679252,1039.2341739011802,1435.53038002445,1638.94379791558,0,0,0,2301.87304860608,1439.7218070094598,2075.4040393906,1352.30271472399,1162.3630581422099,1431.0799208531,0,0,0,1772.0506116848,2375.08187502079,2996.26365557917,1374.27020946772,1280.65342431128,1215.4576052315101
ORNTA,372.0782544633,359.494200075793,368.563889686179,0,0,0,190.96886214381598,234.657050588381,213.367239241221,364.791942588523,425.721060387571,374.083507503215,0,0,0,245.24397091997798,314.034892783194,337.60399975063,314.702936978315,324.10267166649,267.18251576493,295.361291529808,210.166301837419,229.681813521702,0,0,0,230.635140084073,271.495451321809,193.156415547244,255.446542102836,344.518823641615,234.627156066547,0,0,0,469.13247407609003,279.42139706127,239.58700339709702,187.037605271955,182.669890277529,203.675731677194
ORNTA_1,372.0782544633,359.494200075793,368.563889686179,0,0,0,190.96886214381598,234.657050588381,213.367239241221,364.791942588523,425.721060387571,374.083507503215,0,0,0,245.24397091997798,314.034892783194,337.60399975063,314.702936978315,324.10267166649,267.18251576493,295.361291529808,210.166301837419,229.681813521702,0,0,0,230.635140084073,271.495451321809,193.156415547244,255.446542102836,344.518823641615,234.627156066547,0,0,0,469.13247407609003,279.42139706127,239.58700339709702,187.037605271955,182.669890277529,203.675731677194
ORNTAC,3499.54682576293,4064.7259905525298,5582.0853662787595,0,0,0,2433.3129208647542,3824.5913856079196,3289.1102388117097,1480.696475162597,1951.289620356089,1566.947546035937,0,0,0,5216.66245119706,4972.21913573391,5716.046556624429,3251.60757653287,4576.1613589066,4155.78692269868,5267.96007230826,4280.41125472335,3405.8531776503796,0,0,0,3367.7208804509296,3648.8281177647696,3223.38330342317,4192.45120732858,4648.67628927234,3872.0767308622,0,0,0,2550.5237127717537,2053.3627435419858,1815.4419959791942,3459.05522432829,3499.2087046174,3678.53214174883
OROTt2_2pp,319.5627050345459,253.41394431572303,214.5080839443369,0,0,0,375.7774384120255,313.22999965417443,247.7229811529428,538.2176202125761,349.7286254239553,297.5855318115455,0,0,0,157.7926324523891,165.344129154788,165.22947077742478,839.5306041852294,464.6874669088379,499.6660035084412,316.5561990238444,527.2338021872966,570.9233650396601,0,0,0,604.5775516766952,364.3522017738939,454.1230620844789,274.2140431552897,235.1108188365075,348.2974552789111,0,0,0,494.7401418750035,885.6889237125564,1331.9896498386236,1130.208944051872,901.5642971761912,803.1585532533875
ORPT,4366.61206739512,5483.33893464553,4396.9282024863,0,0,0,2466.16777886799,2735.18806477679,2526.95522745429,2457.86046563743,2989.85289819217,2704.32953626481,0,0,0,2712.89260854891,4528.52589706674,3437.66612444491,3130.5679853873603,3964.1544957857204,3230.47950879416,2166.66651124528,1454.43807499944,1652.06847297396,0,0,0,1521.52017171968,2399.2415616810104,1610.32174805522,2034.1885862964602,2609.49730609629,1871.9166581831,0,0,0,1228.1437476358801,833.1371930725929,670.273164265688,896.41193746193,1018.4337431064399,1048.06419012839
OXCOAHDH,131.847549629638,80.8230520076724,63.3773884380995,0,0,0,2531.8774948744604,175.19644048453804,1402.25672908108,352.831551028244,298.249879158279,227.81265288397998,0,0,0,155.891516398746,140.364080865215,107.17587293670799,175.265327978693,89.2334628484363,129.543037946633,84.0959232827925,123.62723637495199,134.527919348426,0,0,0,72.7732238129356,44.2175002152784,73.9747974436255,80.2831989466056,45.7806544929173,78.6948225316367,0,0,0,76.82300339673971,115.35745750235901,239.58700339709702,230.37558698131,150.260716196032,100.60096868266199
OXDHCOAT,23.4643944256135,33.6762716698635,13.6505144328214,0,0,0,25.667857815029002,14.8651525259608,21.6983633126665,34.6851355248104,35.1362871337151,34.466120916026505,0,0,0,20.9122765900757,27.3591005076267,29.473365057594695,30.017818604085498,33.673004848466505,38.1689308235615,28.0319744275975,14.5443807499944,14.7652594406809,0,0,0,16.7938208799082,16.8026500818058,19.8636030172698,8.34111157886811,13.1910360403321,7.286557641818218,0,0,0,15.364600679347902,7.6904971668239295,19.9655836164248,23.949937260433195,15.7135389486046,23.9133450147312
