,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
GDBTALDH,4.36523610351501,3.58598772237334,4.54898674101201,8.48701408974214,9.41050899244087,6.219022343741,36.8420261411654,29.8359662459136,32.7447464103282,3.18738361808952,5.15867510702775,2.95510231149323,1.6987794243842,1.92926493024723,1.35748890912835,4.659065619748099,4.83770901481656,5.535470526810889,4.09747490835526,2.13279437441009,3.075989812167589,0.4900789305525611,1.74135229675204,0.775911480547889
GDPTPDP,11.1209586446692,13.978033774965501,11.456707347734001,9.92143900631827,9.783202417884072,12.814955132557197,7.46472425082437,7.4589915614784,9.586455363550039,10.4642405575015,10.3173502140555,10.3084964354415,10.062001205968,9.71777890791197,10.724162382114,5.4214581757068805,5.3523589100098095,6.15052280756765,8.25897286215358,10.6639718720505,9.56974608229916,9.31149968049865,9.403302402461,11.971205699881699
GF6PTA,448.060305767934,404.0456778616975,407.387034806187,333.0256514650931,271.3208137226518,345.6268781339694,327.0030816974035,412.4065624208705,382.81193665232445,417.306696715533,393.2568577125265,412.546027346368,545.0468445466552,546.6250635700483,539.3303435966934,551.6333693781743,511.25320588497584,497.7310582024126,441.69499051160903,360.44224927530604,401.758447133666,483.217825524825,491.67082098793753,498.68939299785
GGGABADr,4.05343352469251,3.43962087656218,4.88594872182772,9.92143900631827,9.783202417884072,9.04585068180509,6.501534024911551,5.08076236796355,4.30851926451687,3.54821949938268,4.69807911532884,3.36744216891089,6.403091676525071,6.00215756076916,4.34396450921072,4.48964505175726,5.6611488471257605,6.15052280756765,4.54563622645662,5.11870649858422,5.639314655640581,5.14582877080189,6.00766542379453,6.539825336046491
GGPTRCO,14.5507870117167,12.5875487397595,13.1415172518125,7.411195402310032,6.52213494525605,5.370973842321769,7.46472425082437,6.05367431076508,6.46277889677531,14.0124600568841,14.739071734365,12.0953024842513,5.3576889538271,5.430523507362571,4.88696007286206,5.0826170397252,6.793378616550911,5.304825921527098,14.2771391338004,10.6639718720505,10.082411050993803,3.9206314444204895,4.7016512012305,2.43857893886479
GHBDHy,7.69113027762169,10.831146590025599,8.761011501208321,17.9303114572017,25.529499642859392,16.7725148058469,7.94631936378078,11.2425380057066,8.29389958419498,6.8558817445699205,6.44834388378469,8.727860315340461,14.178274426591198,16.220116265411903,18.869095836884,12.3677014633313,15.027776939642902,14.3768470626894,8.77115722569799,6.18510368578927,8.54441614490996,20.5833150832075,22.8987827022893,25.6050788580803
GHMT2r,44.7956371574993,40.54361628969033,40.09847571706882,55.34489469789588,60.09681485271642,65.11127938674295,38.52760903651293,45.94306396562785,41.36178493936199,38.609439298367455,29.57026266706977,41.57760228961405,55.86370799417284,62.09374905129045,59.45801421982165,56.9253108449222,52.803079246827515,58.5068482069873,37.3894585387418,30.71223899150533,39.816979235280456,44.597182680283034,42.48899604074965,35.137705619097304
GK1,246.947642427421,226.283143624048,222.394907338365,185.75802669661,152.245264293548,168.196286114813,193.60123540847698,180.85352003410702,179.880679293579,213.254005844254,221.823029602193,212.148856641386,199.34523168446896,194.712849441619,228.601132297214,219.484345832133,218.211555561938,212.96185221202998,200.840293554851,175.31569757651005,171.230099543996,163.931402269832,169.520646088811,159.394387003981
GLBRAN2,447.54063480323,455.566807587225,433.670069309812,837.9432220998932,831.944898945589,868.495893064558,877.225498250103,871.512898096216,873.552280880796,477.927124772782,438.763741692378,543.532655386045,869.121688583026,801.216580106007,852.231537150777,824.6546146954131,778.459431469312,808.0249338442,421.65577728793403,426.558874882019,476.607532563078,747.615408557931,819.6545260811839,830.446973180684
GLCabc,304.21538273782,292.514141353596,324.662868515932,19.8428780126365,23.2933390902002,14.6052797466645,57.0690208853347,45.7268613116719,54.7181946593643,265.875905199505,292.017858737107,253.039225835304,11.1727415988346,10.0750501912911,10.9956601639396,34.2229547341497,44.9804008398901,40.3628059246627,227.345834368274,243.56511755763302,283.332839365214,60.0346689926887,49.8897433019458,56.974071571659294
GLCabcpp,142.28591013600132,128.80282431381758,142.02947491381997,64.31005042649672,66.24625637252932,65.11127938674294,76.33282540359112,85.61625096653474,90.26347859162843,188.17591209438,171.89442410203156,208.71269116290568,76.18372341661464,63.165562901427855,69.77492992919716,51.9274040891924,46.62728050450855,56.73857289981163,186.3710852847214,217.5450261898291,238.38921044298758,30.629933159535025,33.60809932731432,33.91841614966486
