,fluxes
ADMDC,-1.3675279290659787e-08
ADNCYC,-7.440832600285972e-09
ADNK1,0.19304233467818163
ADNK3,-6.310184916536348e-09
ADNK4,0.12869523058072607
ADNUC,-1.731500175784471e-09
ADNt2,0.0
ADOCBIAH,-2.138681928844167e-08
ADOCBIK,37.48396091726335
ADPGLC,8.096955618227048e-09
ADPRDP,-3.771039386563618e-09
ADPRDP_1,-4.072298704893151e-09
ADPT,-1.712814024457337e-08
ADSELK,-1.0672027255187452e-08
ADSELR,-1.067203577584082e-08
ADSK,-1.3820196877499955e-09
ADSL1r,-1.771616614684858e-08
ADSL2r,-4.018447231078747e-09
ADSS,-1.7716157229970784e-08
ADtr,0.0
AEPPYRTA,-7.418790263387345e-09
AEPabcpp,-7.4187937337578725e-09
AEPtex,-7.418790484506886e-09
AGDC,1.0072289268076375e-07
AGM3PA,7.301972721784288e-09
AGM3PApp,-1.1032847788821347e-08
AGM3PH,7.301971547528378e-09
AGM3Pt2pp,1.4603940936516105e-08
AGM4PApp,-8.594636829653641e-09
AGM4PCPpp,5.595208158347993e-09
AGM4PH,7.340875807658508e-09
AGM4Pt2pp,7.3408765814205405e-09
AGMDA,1.5951877313278444e-08
AGMH,7.3019713808279574e-09
AGMtex,1.5951881013327472e-08
AGPAT120,4.1324082904380995e-09
AGPAT141,4.540994733443456e-09
AGPAT160,9.499099248281738e-09
AGPAT161,3.0943050961402937e-09
AGPAT180,8.500900004570028e-10
AGPAT181,-1.5524669751319173e-09
AGPATr_BS,-1.182034248501322e-10
AGPR,1.4716274995801558e-08
AH6PI,-1.214402530571502e-07
AHCYSNS,1.9956191053292995e-08
AHCi,0.32173759238138805
AHGDx,-5.993306258211959e-08
AHMMPS,-1.589812258718261e-08
AHSERL2,-6.530811459450711e-09
AI2abcpp,-6.946083931366798e-09
AI2tpp,-6.946085962613648e-09
AICART,-1.4547351411557904e-08
AIRC2,-1.4588646013475385e-08
AIRC3,1.4588663280668272e-08
AIRCr,1.0570195890583046e-08
AKGDH,-1.735174694250397e-08
AKGDa,-1.2283957239657036e-08
AKGDb,-1.2283974034614356e-08
AKGt2r,-6.326993744225832e-09
AKGt2rpp,2.0974576635271403e-08
AKGtex,2.0974576251155964e-08
AKP1,-1.3937746733370166e-08
ALAALAD,-1.4584261572097794e-08
ALAALAabcpp,-1.1187201643101765e-09
ALAALAr,-1.5024930573476482e-08
ALAD_L,1.712391425763015
ALAGLNtr,0.0
ALAGLUE,1.4198667328826828e-08
ALAGLUabcpp,1.2281875366726308e-08
ALAGLYtr,0.0
ALAHISabcpp,1.9466485303480046e-08
ALAHIStex,1.9466481643653188e-08
ALAHIStr,0.0
ALALEUabcpp,1.038876819776708e-08
ALALEUt,0.0
ALALEUtex,1.0388761579310214e-08
ALAR,2.949331581470046e-08
ALAS,59.32201808674373
ALATA_L2,4.897621052384977e-08
ALATHRabcpp,9.923884602510544e-09
ALATHRtex,9.923895770861628e-09
ALATHRtr,0.0
ALATRPabcpp,1.0776885260678935e-08
ALATRPtex,1.0776888144611065e-08
ALAabc,-1.3668981884879257e-08
ALAabcpp,-1.3666592221526386e-08
ALAt2pp,2.6580260259866264e-08
ALAt2r,-7.089763403544095e-09
ALAtex,1.2913660696753324e-08
ALCD1,-1.26103203110484e-07
ALCD19,8.154809738140695
ALCD19y,-8.154809708081466
ALCD22_L,14.18612298418901
ALCD2ir,5.349873196804321
ALCD2x,-5.349873197049301
ALCD2y,10.699746393853603
ALCD4,9.527699760801352e-15
ALDD1,4.995308920184035e-09
ALDD19xr,1.3672483026904013e-08
ALDD20x,-1.1653471803728996e-09
ALDD20y,-1.5856807391248529e-09
ALDD2x,11.205184839479665
ALDD2y,-1.4772508397324299e-08
ALDD3,-1.4921101605043586e-08
ALDD31,-1.5531392391458988e-08
ALDD31_1,0.0
ALDD3y,-1.5267234041942708e-08
ALDD4,2.53316469200759e-09
ALDD4x,1.3928405518348546e-08
ALDD5,-4.052779990705035e-09
ALDD6,0.0
ALDH_1,-1.3928416476517048e-08
ALGAC4,-3.484088687231805e-09
ALGE6,-3.4840882605141496e-09
ALGSex7,-3.484088030039853e-09
ALKP,-5.934236071854742e-09
ALLTAHr,1.0136321721150607e-08
ALLTAMH,9.491000698212498e-08
ALLTN,1.1565290379794147e-07
ALLTNRA,7.572615237461953e-08
ALLTNt2rpp,8.06261065229965e-09
ALLTNtex,8.062611547394677e-09
ALPHNH,-1.525856409889391e-08
