Metabolite,Tags,In 1-A,In 1-B,In 1-C,In 1-D,In 1-E,In 1-F,In 1-G,In 1-H,In 1-I,In 1-J,In 1-K,In 1-L,In 4-A,In 4-B,In 4-C,In 4-D,In 4-E,In 4-F,In 4-G,In 4-H,In 4-I,In 4-J,In 4-K,In 4-L
Trehalose,High Confidence,40097902.05,194384314.5,208620293.3,224293777.2,61811739.64,206321649.8,198218326.5,207256163.1,197571052.5,205703626.7,221195368.5,215123835,263042.9435,262986.8964,230111.0907,41542314.23,125847231.4,46641174.47,126573286.8,30102565.37,104823529.9,200559082.6,212836058.9,199574662.9
Trehalose-6-phosphate,High Confidence,127414.1812,132384.2474,239807.6305,184039.7692,140529.9863,125707.1815,236385.1641,314101.05,235637.3193,163703.6496,320343.3586,195628.833,112055.2784,213034.4525,79860.80272,47682.12089,35253.7171,58577.9656,39321.3273,48526.49431,23065.28057,363860.5731,249953.1758,308336.6968
Uracil,High Confidence,199872.5739,187232.1083,231540.3549,280351.3854,52275.23212,51637.03103,287377.3972,317272.0801,296802.3453,127755.2437,117461.7142,109302.9907,438947.4918,270986.1241,199165.4545,458013.1784,410265.9036,68137.4293,467062.4642,421251.4362,259585.7775,115765.8623,160715.3716,328831.8564
"1,4-butanediol",Moderate Confidence,41165.39698,48776.35875,43226.14403,64897.56241,34278.06886,26890.95132,56614.16447,62417.6887,50412.39213,53198.47851,60363.19803,57007.31129,53058.90456,56568.57216,49047.11856,74674.76325,52141.17017,69342.9659,70343.35873,64378.33712,61581.09021,98021.15813,116372.0847,93075.51801
1-hexadecanol,Moderate Confidence,790045.0733,959812.7334,965880.1396,13567.05911,24618.99943,11800.42621,192399.7464,347654.8814,433799.9252,18624.48429,36427.47424,32734.94425,55973.05739,61683.79359,40336.44235,0,0,6110.392642,475.2153751,0,0,38532.48195,36922.13389,37333.4955
2-hydroxypyridine,Moderate Confidence,888534.8362,899297.4159,976757.3168,1264148.376,960939.2913,1087308.378,848139.6493,1114935.76,956018.0717,1039435.718,1631374.301,1011501.875,1138601.705,1155821.209,994132.3266,1277929.776,1266281.658,1504007.589,1569030.366,1304996.332,1161699.3,1986615.106,2078471.786,2020328.99
2-phosphoglyceric acid,Moderate Confidence,388102.3802,385725.6296,459388.0785,624391.3526,321497.4902,512571.5064,272195.6565,271005.8053,247715.4431,357321.28,319232.2726,200852.2274,231300.1348,203515.7929,217279.9123,272967.0807,148528.0991,160443.2162,169721.1809,104870.6859,86225.71289,82144.74556,89644.31873,86012.01611
Adenosine-5-monophosphate,Moderate Confidence,131668.2399,256463.5303,316117.794,65417.31696,70673.67258,67936.64019,52319.53987,133628.9534,97581.69033,86480.87502,378320.6454,0,77653.09127,206809.0486,161074.6596,0,0,39297.58989,0,0,0,35153,31807.40924,43262.14811
"Benzene-1,2,4-triol",Moderate Confidence,9703550.709,12714942.8,16695676.59,12141743.6,9465402.543,9913295.092,10953083.61,11669352.47,10934915.4,10044991.03,9565257.492,8962916.866,5961467.512,6118800.247,5513934.965,8313400.165,5740135.455,6809161.135,5693715.807,3720353.288,3393311.704,6887293.925,6306198.573,5885970.573
Ethanolamine,Moderate Confidence,379681.7031,135875.2773,239483.0636,572394.735,173524.7746,434819.9048,279881.3258,246247.8191,235467.9167,388335.6927,550834.9008,452146.3934,374274.6673,164179.0305,296809.83,367979.7948,264853.2367,212926.731,268715.1145,189238.8102,203847.0996,188138.6065,232944,616704.7575
Gluconolactone,Moderate Confidence,425001.0593,575946.4935,595607.8002,668947.0136,610311.7892,807810.0985,1656686.426,1819622.552,1773080.258,1143047.066,1741672.68,1677262.643,480762.1814,503557.344,430634.2611,634884.003,467878.6458,587630.758,497021.7531,402800.4519,385677.4127,1797103.484,1521086.05,1403632.173
Glycerol 3-phosphate,Moderate Confidence,2299701.114,2697195.472,3452931.477,2939437.454,2719318.511,2975475.637,2144170.7,2865212.691,1901691.18,2767222.339,2568547.034,2368632.604,5157918.369,5475203.271,3949754.095,1511655.984,1156251.055,1749667.696,1098120.732,851287.1702,665393.8664,1629399.295,1778626.06,1378176.751
Glyoxylic acid,Moderate Confidence,329477.0161,409170.2286,568890.5138,473743.6405,189109.6002,259466.1051,497477.7457,547428.2824,449547.1801,458218.3739,475280.0083,380610.2467,320461.8533,102667.1636,228642.0445,221313.8556,336407.4286,286143.5476,338353.0087,84058.09215,86851.79454,456280.8312,475428.6199,394695.8758
Guanosine-5'-monophosphate,Moderate Confidence,6932816.098,8931991.534,9972246.253,10624034.8,9144315.009,9743127.912,9515015.721,10987652.94,9607782.095,9681598.803,9326859.245,8608314.145,4072828.517,7116402.472,5170347.423,5035324.631,3778261.545,7385129.726,2919846.171,2108620.469,2011782.474,7556501.64,5281240.156,6515443.927
Hypoxanthine,Moderate Confidence,84073.7104,76362.69132,0,0,47579.83892,65883.34801,217329.0428,151888.8894,213107.7389,16007.01544,0,75710.19591,0,0,0,7005.593628,6757.360206,8706.005935,0,0,0,209004.6761,220586.6278,190968.5468
Isomaltose,Moderate Confidence,88787.44596,69651.34566,42242.23673,69647.72346,0,39153.76907,149220.1091,127934.0661,126508.276,132103.7593,121452.488,123358.1901,25547.31148,34369.8561,25543,60409.5959,85884.66922,77968.50542,35621.79002,27947.08435,49283.78719,108350.6366,102453.3157,84893.54894
Lauric acid,Moderate Confidence,37088.94151,61825.34325,67504.96606,55843.23684,64953.82594,54391.55121,44274.5301,68654.5346,81764.42537,46033.97162,56328.8248,40799.77318,82380.82526,106322.54,52075.87826,89612.84501,93521.46517,61693.9982,124612.0584,44476.73973,66186.13742,97402.6874,73226.31299,48274.73313
L-histidine,Moderate Confidence,0,0,0,0,0,0,0,0,0,0,1737773.227,0,0,0,0,825537.4055,0,0,0,0,0,1173605.04,1200115.678,782707.7371
L-methionine sulfoxide,Moderate Confidence,23967.49743,23144.41843,35313.01851,57650.95129,33682.73078,68076.39291,9948.08087,35512.15304,34958.72139,65791.95676,192791.2712,57945.46767,29902.61152,38560.50169,33344.37921,14086.95965,36234.84167,29442.01627,27738.64147,26152.15395,13733.44791,28483.55925,44191.97897,23092.81508
Maltotriitol,Moderate Confidence,0,0,0,0,0,19900.15745,0,66670.08772,0,0,87602.90497,702.4428372,187856.8411,227987.4043,140131.776,0,0,56144.58886,0,565.9806656,0,0,2210.823045,25464.52008
Maltotriose,Moderate Confidence,46849.97461,98909.05795,107024.129,197109.0981,132211.9452,130384.7345,0,27046.48496,0,46002.15192,0,23074,91569.05481,88155.78074,41202.29249,118438.3792,39006.24934,80958.70807,38837.83117,35347.05463,29388.86864,31171.57765,34299.33997,35125.69564
Melibiose,Moderate Confidence,30257.09423,57921.44706,42865.44344,154515.4823,178537.3888,92173.05823,167167.6105,108258.3196,175990.2768,45797.01793,152281.8303,34347.97298,73835.03454,89790.55155,36081.98794,119288.0897,94815.79012,161481.3512,98097.36541,72820.82375,52348.61379,217832.2801,167044.4549,149282.3998
O-phospho-L-serine,Moderate Confidence,1240236.629,1283428.711,1182551.334,912327.9657,546466.6858,656821.3752,725446.6223,591027.497,926208.8036,244917.9394,42215.30618,122255.6453,144954.9312,180957.4926,108310.7321,334427.237,272614.2275,505503.3518,125287.6601,113649.5093,97472.97772,43597.21254,88821.68978,33946.42482
Phlorobenzophenone,Moderate Confidence,9677.283491,5411.849088,6702.870786,54886.78433,13966.87377,26902.5832,14818.95964,7482.692227,10616.76404,30514.71741,38377.21896,19943.32765,24396.52207,21501.92932,18244.73367,45598.67413,41030.44571,66318.16352,27897.99963,21830.58759,15882.12886,55704.05209,86602.65128,42452.02049
Phytanic acid,Moderate Confidence,44389.54883,64689.42803,64536.15251,53255.60385,54527.47672,56933.25213,62054.80196,55807.93287,32079.63292,41711.03619,46684.49842,57419.77426,80936.68966,57578.22687,41068.8203,48014.3978,51066.75909,46242.25148,68897.32167,59804.93927,98038.05559,65084.03273,51589.41083,48225.7322
Porphine,Moderate Confidence,1042259.35,957228.6903,1078014.332,1567848.059,942871.5776,1269753.696,1449055.583,1431994.497,1401425.656,1191269.792,1857530.452,1159950.522,1503871.946,1347206.084,1075353.739,1664951.537,1732534.307,1822146.017,1897504.296,1686060.621,1505561.003,2232680.467,2685002.108,1901193.047
Shikimate-3-phosphate,Moderate Confidence,261680.4036,60047.02651,54419.9685,79592.7445,101591.3118,74901.17809,73766.10187,82764.98856,89877.02765,74966.12969,105883.8461,64468.45309,76117.45934,92921.82743,69859.45158,68660.57585,56863.15912,79213.5657,46513.83213,44079.80613,30046.62089,75696.20731,81289.56191,48569.57321
