Metabolite,Tags,In 1-A,In 1-B,In 1-C,In 1-D,In 1-E,In 1-F,In 1-G,In 1-H,In 1-I,In 1-J,In 1-K,In 1-L,In 4-A,In 4-B,In 4-C,In 4-D,In 4-E,In 4-F,In 4-G,In 4-H,In 4-I,In 4-J,In 4-K,In 4-L
Unknown 194,,210453.728,306775.555,300077.9477,205042.4744,266537.2915,228177.6372,339550.4782,329134.1412,380180.9457,431834.4854,384369.3553,436726.9116,10744.72429,14971.07601,8292.784139,145695.7301,113023.5191,153022.4138,85522.58318,77874.31687,75032.35371,182525.7216,131614.4496,139974.8213
Unknown 195,,0,0,0,0,2102752.99,712765.4811,1750742.25,3185475.116,1983113.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830949.5565
Unknown 196,,187033.5775,327382.9686,271916.2886,407958.8313,1648045.563,546446.5032,1365948.608,2505044.808,1564766.992,410548.9097,257092.5278,467248.1246,55959.61146,59792.95196,34964.59831,135696.9679,128673.9754,81089.13528,307150.3574,301239.4319,283942.1126,302867.0753,230720.862,646942.4613
Unknown 197,,157381.6164,224433.0524,0,0,174978.8942,0,0,379028.4087,0,0,0,0,0,0,0,0,92682.37136,132340.077,100928.1316,69187.57378,63032.01563,0,0,243473.0223
Unknown 198,,1515395.34,1692876.327,1947522.883,1567504.75,1231768.318,1364907.412,1975472.466,2257876.986,1845565.1,1924493.404,1919735.99,1628571.572,3089554.404,3560323.749,2541466.034,2055439.347,1597935.833,2591911.857,2247351.576,1484163.526,1244572.689,2212437.125,1808209.739,1585948.874
Unknown 199,,117140.0053,118580.94,183435.5131,205301.6256,150620.1595,224025.5736,87294.82329,97723.16399,78792.41079,155454.301,102228.7746,131733.4628,0,22912.29479,0,10902.51186,0,15495.82631,13414.99732,56364.12761,59301.25255,0,127223.2899,86740.48018
Unknown 200,,140755.5003,148097.7839,169561.6712,316109.9355,91456.70267,114226.277,248602.5019,254529.2327,261238.6576,222252.1885,180840.1789,148646.9838,306776.736,272800.7165,218980.0829,208399.3963,112727.3739,209871.3563,179879.8383,152071.0947,194564.6178,244313.7715,152773.5717,109959.9763
Unknown 201,,10830547.4,11763985.1,13364978.63,11081889.12,6581304.429,9010414.272,18731965.24,17604079.42,17828161.21,15081219.76,13327239.69,11264782.68,21699145.07,25749263.99,19498852.96,13339210.86,11686588.71,16987344.44,13503355.82,9402500.886,8761523.823,13073744.14,10403198.68,8543665.318
Unknown 202,,143809.9863,171706.8054,190007.9045,197503.0994,13461.3174,169997.154,257027.6447,204366.4693,200030.8467,191905.1025,218768.2892,173946.6511,0,0,0,49958.9659,50798.67612,58711.39618,54155.57197,48282.28479,48089.8362,158251.342,107591.6869,141455.8183
Unknown 203,,905810.6849,1143220.01,2272380.209,8878745.186,5047737.689,5049334.209,6165225.267,8711911.151,6467702.638,2799705.154,3020540.382,2007667.269,1321397.067,1520695.336,934375.2471,3340001.828,2194539.734,1856607.275,6950484.92,6309489.492,4819548.242,9139253.576,5366110.14,5649741.66
Unknown 204,,302766.9654,316034.005,653504.0515,2344173.081,1453340.073,229051.37,1198586.86,1954540.391,1185071.756,638405.56,2182748.56,2427240.252,334832.9017,96386.081,251086.5902,880461.704,88964,617140.8903,1786093.826,1671397.341,1245854.128,2188812.137,2518533.347,3145323.473
Unknown 205,,4512.179792,85835.37682,110289.0086,57806.01089,68607.24601,63402.86817,90922.36557,97801.05605,71882.03933,91999.72947,73462.96897,84663.97988,0,14042.53357,1544.06521,49850.06502,32537.39141,53437.23374,48473.76149,36550.7937,26769.78983,0,50252.67364,39058.61308
Unknown 206,,167841.4005,0,0,0,0,0,287619.1796,287455.7831,272165.0716,0,0,0,0,0,0,0,0,0,0,0,0,84918.73324,0,76589.48591
Unknown 207,,116527.0063,140899.8329,195044.95,163067.4248,140523.4996,160399.8554,672862.9434,805513.876,766570.9706,111930.6373,111001.6165,109110.3916,0,22458.88315,4866.002722,127979.6423,50264.75514,83891.44534,147423.8768,134050.0928,121914.1975,353081.9272,208594.3739,298212.3409
Unknown 208,,77482.26811,96092.38816,111228.8769,108499.4228,97956.97162,102223.2373,105038.7109,112071.2034,104406.6765,120215.5354,117305.2273,111014.5491,85288.05167,112997.0768,82650.99806,108399.205,79095.21768,129062.0595,132938.4513,106877.2802,86307.89136,117534.7435,104012.2891,97173.98168
Unknown 209,,199099.4553,250292.4579,255619.5736,195270.2351,163925.8361,178138.0812,63222.60184,0,152196.2271,145408.2286,36617.18179,116405.41,3343.500102,5457.822369,36842.66102,59533.95172,42598.75796,60764.8875,51775.7488,58336.14632,51765.46366,38661.40255,8973.037329,17915.44991
Unknown 210,,24112.91913,1763.375049,0,4810.103191,30233.13119,0,230930.5496,189212.2975,127529.0469,63494.21598,269831.8075,191455.5919,7105,0,0,37254.09874,0,104264.3351,0,0,0,209194.8627,169810.677,457889.3647
Unknown 211,,557455.6162,776231.2931,954145.3798,0,6179,36142.57122,0,364888.0693,81064.3003,41998.71935,191458.1252,119407.4431,0,0,0,0,0,0,0,0,0,265402.6206,83663.5341,245843.0566
Unknown 212,,147194.8492,257384.1021,197325.6475,567069.2845,453131.2535,476135.2535,41089,41564,0,297452.1706,172538.6459,151595.8641,0,49551,41029.43386,130668.8651,94609.1702,227257.8806,0,697.1299015,19232,77883.64162,84536.41329,108422.0519
Unknown 213,,51377.1316,64167.7697,62106.96353,0,0,36581.34226,62661.54129,48367.27175,70285.11507,57151.8602,0,62488.82981,0,846.5995601,0,1726.468703,13994.80232,19365,0,0,154.5841456,565.6120288,4725.139952,24628.12044
Unknown 214,,248558.2369,211201.5103,274872.8716,139688.931,106163.9515,88344.27046,61574.78398,88695.20884,67870.39589,94609.70375,114639.493,61925.31359,72106.3144,189884.7277,73204.58866,59912.62945,56806.71442,136583.5452,75119.57284,121668.3344,50063.38201,89748.34642,102673.5175,78263.40923
Unknown 215,,0,0,0,0,0,0,478678.8099,463133.9877,507044.4749,526404.3234,412158.0455,0,0,0,0,0,0,0,0,0,0,360611.3104,294992.748,291353.6375
Unknown 216,,0,1513.594159,0,0,0,0,220004.7345,222019.6867,222320.1833,217701.2411,195061.5058,191670.1731,0,0,0,0,0,0,0,0,0,193985.6971,69101.95366,128002.2755
Unknown 217,,155320.7429,140053.6097,120172.0321,114017.6831,119935.5726,144873.2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 218,,105914.9082,122615.2716,123525.1228,130212.8504,100599.7603,170490.319,202018.8549,168358.5518,157057.0305,248261.9555,150835.8698,160653.521,99666.40392,86003.50857,55231.69942,79502.47313,0,48689.67377,50174.89015,22234.58102,15196.21001,0,26421.37449,47893.24654
Unknown 219,,124313.4938,109684.027,197643.7632,177862.0652,38851.61696,110556.1831,96960.06204,103240.9255,84281.11402,45495.94533,72655.55627,16862.1856,156890.8526,150698.8244,134407.9081,110930.6658,67852.89869,107185.6547,71394.00668,54478.98494,30176.93765,59324.6938,47262.1001,44906.01543
Unknown 220,,429928.0626,523340.0159,522363.2406,1094674.079,1009201.151,1093756.362,416504.7031,408771.5518,456366.1593,517943.7091,579723.8022,665455.5854,882592.4988,958604.6411,650566.1067,336565.3118,284376.1891,437548.023,295002.1038,128635.6763,160707.2916,445666.3748,363734.5206,398694.5579
Unknown 221,,49456.50793,54438.91894,78126.74398,68781.50073,1436.631471,31836.4361,63046.48596,65264.12936,68542.36716,0,34784.50877,0,902.8541441,606.1157848,33109.62647,77126.58425,0,78028.29353,42244.14901,29570.53923,1246.566936,26602.31859,23009.00034,3549.31925
Unknown 222,,371788.0534,417617.3641,411800.7795,389899.2518,329173.1156,298349.9275,378315.8977,290971.69,380192.3547,366176.1845,569940.5452,445789.7223,441173.8269,519652.5131,330285.2942,313982.2739,330053.6042,500908.1997,352201.4541,242120.9044,149206.7838,385100.2887,483888.1933,472312.8904
Unknown 223,,234280.9955,370183.7139,501043.3473,53068.34635,25717.11685,16888,287187.4596,280023.1105,315487.7731,252223.2862,297030.9918,279189.2594,194801.673,158415.3537,103185.7887,238480.5547,222779.1648,384119.7091,305863.7738,187313.7837,175209.4657,505969.8871,425894.7844,361974.2031
Unknown 224,,5832.703213,30622.45495,528.5709808,41841.43191,68910.72857,84416.70436,52706.76463,28584.0544,0,53518.54031,55202.91042,33103.71406,0,55636.87355,21721.90051,21952.02581,0,58601.14767,63132.55531,43725.80608,1782.476516,0,3004.68662,66538.54763
Unknown 225,,1645216.524,2054060.888,2814759.01,459118.4771,319735.0004,354582.2252,1586664.522,1654959.858,1576390.974,1859584.599,2384775.881,2132293.328,1039953.942,1186177.274,846327.8771,1343306.065,1214037.503,1840053.05,1303948.244,770285.8496,587433.8987,2612312.765,2268061.434,2193622.414
Unknown 226,,351925.6778,492993.4099,305358.5907,0,0,0,4072.488503,1571.870741,202808.8869,389270.5536,550046.9076,442040.9091,0,0,0,0,0,21.70688505,0,0,0,4092.300054,1611.583317,10140.90437
Unknown 227,,24385.3931,61659.34881,0,0,0,0,218937.9854,178443.4089,105304.8546,88410.5603,0,44003.20179,94518.30334,75227.87268,220229.9805,55814.98415,987.3376414,3082.37492,1358.250428,1269.55966,10863.16829,0,321.7999347,851.1840987
Unknown 228,,217630.7295,214347.0748,267134.1581,0,56779.31193,89284.60269,144642.4146,101109.3909,176538.9304,84165.41969,70356.39369,125367.6878,65705.42604,127429.7535,131012.0784,189878.1883,148421.2021,115014.4932,420.6644784,0,2134.788265,44105.80145,41783.3168,43373.94495
Unknown 229,,198363.596,200325.5411,243310.5444,0,573.5159185,0,428.1129773,1005.013165,0,0,0,0,287705.2545,258680.7728,300663.5334,50269.16184,0,0,1559.790757,756.9915938,0,0,0,0
