m/z,RT [min],Name,model_metabolite,mass_difference,Tags,Formula,Foston_In_1-B_Met_LC_HILIC_Neg (F33),Foston_In_1-C_Met_LC_HILIC_Neg (F34),Foston_In_1-D_Met_LC_HILIC_Neg (F35),Foston_In_1-E_Met_LC_HILIC_Neg (F36),Foston_In_1-F_Met_LC_HILIC_Neg (F37),Foston_In_1-G_Met_LC_HILIC_Neg (F38),Foston_In_1-H_Met_LC_HILIC_Neg (F39),Foston_In_1-I_Met_LC_HILIC_Neg (F40),Foston_In_1-J_Met_LC_HILIC_Neg (F41),Foston_In_1-K_Met_LC_HILIC_Neg (F42),Foston_In_1-L_Met_LC_HILIC_Neg (F43),Foston_In_4-A_Met_LC_HILIC_Neg (F44),Foston_In_4-B_Met_LC_HILIC_Neg (F45),Foston_In_4-C_Met_LC_HILIC_Neg (F46),Foston_In_4-D_Met_LC_HILIC_Neg (F47),Foston_In_4-E_Met_LC_HILIC_Neg (F48),Foston_In_4-F_Met_LC_HILIC_Neg (F49),Foston_In_4-G_Met_LC_HILIC_Neg (F50),Foston_In_4-H_Met_LC_HILIC_Neg (F51),Foston_In_4-I_Met_LC_HILIC_Neg (F52),Foston_In_4-J_Met_LC_HILIC_Neg (F53),Foston_In_4-K_Met_LC_HILIC_Neg (F54),Foston_In_4-L_Met_LC_HILIC_Neg (F55)
704.5237099999999,2.74,,"1,2-dioctadecanoyl-sn-glycerol 3-phosphate",0.011899999999968713,MS2 available,,364572.85799999995,209186.9633,132156.5065,45990.96366,127685.4849,1375232.63,1514261.293,1042912.27,801444.4341,324890.3542,495720.49600000004,549098.7666,9053.90728,500724.4089,1131030.771,1183525.382,1277342.885,466128.2326,423459.9794,480017.2812,304353.6102,607528.0881,494378.3715
260.97598999999997,5.936,,D-Mannose 6-phosphate,0.06173000000001139,MS2 available,,634135.4952,668490.1245,727598.5283,584168.5831,659301.9478,921529.4539,827516.5845,1047579.194,890496.2571,1113251.205,1216307.3190000001,544930.5304,10113.40492,450635.097,550440.4549,764587.8124,655413.8069,883113.9724,865024.3823,954645.5463,1604707.9919999999,1477670.55,1757320.8169999998
196.93111000000002,5.301,,L-Threonine O-3-phosphate,0.07890999999997916,MS2 available,,548068.6619,678164.0712,775991.5173,833421.7167,916945.437,314279.1238,650204.2156,511493.6925,1003656.0,501336.5955,719358.6454,841074.3751,8492.071476000001,937787.4769,610753.3799,761652.5926,1013413.329,915987.5118,1083146.7179999999,1375642.235,1942494.013,649831.6472,893494.9425
160.98606,0.603,,O Acetyl L homoserine C6H11NO4,0.08275000000000432,MS2 available,,902965.7987,1040683.9670000001,1269478.702,770631.0019,1295114.617,1028422.192,1437087.6169999999,1401642.104,1261930.0459999999,1566298.885,1739346.761,1053868.572,9514.372647,838797.1537,1089737.523,1087693.495,1408820.035,1092673.029,1184006.034,1050988.812,1189850.298,1520179.96,1292895.498
338.92773,5.767,,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,1.871530000000007,MS2 available,,2295867.835,2485976.159,2467574.559,2687358.586,2319319.4069999997,2349730.182,2451922.54,2444750.313,2344131.8819999998,2072244.2880000002,1995185.215,2605269.497,20456.59526,2215397.286,2267163.5209999997,2354988.728,2351161.67,2152314.691,2079650.77,1891322.583,2209768.857,2217939.238,1884932.305
525.1107599999999,4.565,,XTP,5.165189999999939,MS2 available,,16205.511209999999,16602.4071,16382.150959999999,17854.38437,16487.98002,705932.2885,15681.581559999999,1024371.5,16779.51824,1763300.494,799420.5069,14370.5599,11722.1884,14022.199530000002,15681.04496,15444.21429,15923.305569999999,13533.522519999999,14520.51151,13772.61959,1777849.9440000001,1953036.1719999998,2043290.04
198.98293999999999,5.494,,D-Erythrose 4-phosphate,0.019100000000008777,MS2 available,,3221348.857,3194341.48,3340273.58,3635205.642,3330267.9710000004,2563322.589,3191662.34,2999578.648,2317492.543,2962044.37,3004746.841,6513152.275,731450.0422,2165443.415,6934291.636,7710905.91,7006355.382999999,7423291.871,5178504.623,5035892.074,3489614.327,3163594.652,3876963.9510000004
231.09852,3.9210000000000003,,Gamma-glutamyl-gamma aminobutyric acid,0.00012999999998442036,MS2 available,,294559.466,324334.3645,605953.4959,665470.2233,451642.3176,1310986.017,818573.7653,1118562.283,1616238.139,1222256.916,1642879.802,353104.3174,7753.014943000001,356817.7444,585680.5801,625135.0858,456269.7145,222052.2942,196434.2841,162774.4151,1059122.503,1227419.397,1028343.822
201.07655,1.082,,4 Fumarylacetoacetate C8H6O6,0.036460000000005266,MS2 available,,2477835.437,2413862.96,2927090.442,2279029.591,2849314.578,2550247.375,2236338.043,1822078.32,2689606.8239999996,2793765.945,2901452.0760000004,2945882.729,744876.7159,2838143.8880000003,3023986.953,2744797.37,3179943.992,7179413.703,3682498.247,3651360.527,2879742.8310000002,2724068.8789999997,3038116.814
146.02546,5.146,,(S)-2-Hydroxyglutarate,0.0028400000000203818,MS2 available,,1575966.304,1357923.69,1517114.5659999999,1923050.386,1189080.506,1080404.607,969466.1153,980644.6762,986258.3098,851763.9217,800838.8435,1202300.619,6501.121484,741612.6687,1496379.614,2112956.279,1109528.246,767032.156,795348.1079,715623.6979,644101.3456,269483.6599,669098.8388
312.93208,5.767,,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,0.1128800000000183,MS2 available,,2986534.644,3423944.07,3105707.849,2993957.7339999997,3066390.3819999998,2908508.575,3139072.2819999997,3239836.12,2876736.854,2864434.561,2818440.5919999997,3457473.4839999997,25046.52545,3032722.256,3092951.778,3151068.251,3112195.215,2900155.942,2771006.847,2502548.514,3157229.9489999996,3006479.1010000003,2689346.482
217.03516000000002,4.479,,4-Amino-2-methyl-5-phosphomethylpyrimidine,0.008820000000014261,MS2 available,,465786.42799999996,191781.018,581474.0785,61200.855760000006,590139.5512,352320.0952,55102.61851,751177.2316,92125.03136000001,1795079.093,364336.8871,240443.50600000002,10435.743840000001,322556.0481,248625.0901,332150.1468,96100.82937,141039.3315,211635.5295,155312.8414,1269334.531,1500842.544,2728940.8510000003
