Line Name,Measurement Type,Time,Value,Units,,,,
WT-G-R1,PD630_LPD00157,14,167,counts,,,,
WT-G-R1,PD630_LPD00275,14,43,counts,,,,
WT-G-R1,PD630_LPD05601,14,4591,counts,,,,
WT-G-R1,PD630_LPD06437,14,481,counts,,,,
WT-G-R1,PD630_LPD00264,14,133,counts,,,,
WT-G-R1,PD630_LPD05606,14,389,counts,,,,
WT-G-R1,PD630_LPD02128,14,254,counts,,,,
WT-G-R1,PD630_LPD03058,14,6,counts,,,,
WT-G-R1,PD630_LPD12031,14,23,counts,,,,
WT-G-R1,PD630_LPD02899,14,319,counts,,,,
WT-G-R1,PD630_LPD04134,14,64,counts,,,,
WT-G-R1,PD630_LPD00351,14,43,counts,,,,
WT-G-R1,PD630_LPD03977,14,2,counts,,,,
WT-G-R1,PD630_LPD02898,14,561,counts,,,,
WT-G-R1,PD630_LPD06444,14,1876,counts,,,,
WT-G-R1,PD630_LPD04847,14,669,counts,,,,
WT-G-R1,PD630_LPD04130,14,156,counts,,,,
WT-G-R1,PD630_LPD05602,14,2624,counts,,,,
WT-G-R1,PD630_LPD05604,14,2577,counts,,,,
WT-G-R1,PD630_LPD05603,14,3452,counts,,,,
WT-G-R1,PD630_LPD01989,14,275,counts,,,,
WT-G-R1,PD630_LPD07178,14,101,counts,,,,
WT-G-R1,PD630_LPD04054,14,1095,counts,,,,
WT-G-R1,PD630_LPD05600,14,483,counts,,,,
WT-G-R1,PD630_LPD01998,14,20344,counts,,,,
WT-G-R1,PD630_LPD06278,14,626,counts,,,,
WT-G-R1,PD630_LPD04135,14,54,counts,,,,
WT-G-R1,PD630_LPD07740,14,56,counts,,,,
WT-G-R1,PD630_LPD00556,14,2293,counts,,,,
WT-G-R1,PD630_LPD02127,14,1322,counts,,,,
WT-G-R1,PD630_LPD01792,14,172,counts,,,,
WT-G-R1,PD630_LPD02897,14,1425,counts,,,,
WT-G-R1,PD630_LPD03845,14,1200,counts,,,,
WT-G-R1,PD630_LPD00559,14,419,counts,,,,
WT-G-R1,PD630_LPD04131,14,909,counts,,,,
WT-G-R1,PD630_LPD01052,14,137,counts,,,,
WT-G-R1,PD630_LPD04129,14,377,counts,,,,
WT-G-R1,PD630_LPD04067,14,179,counts,,,,
WT-G-R1,PD630_LPD03112,14,3146,counts,,,,
WT-G-R1,PD630_LPD05221,14,20,counts,,,,
WT-G-R1,PD630_LPD11049,14,174,counts,,,,
WT-G-R1,PD630_LPD07179,14,384,counts,,,,
WT-G-R1,PD630_LPD01988,14,479,counts,,,,
WT-G-R1,PD630_LPD02999,14,2638,counts,,,,
WT-G-R1,PD630_LPD03928,14,11046,counts,,,,
WT-G-R1,PD630_LPD05958,14,82,counts,,,,
WT-G-R1,PD630_LPD07154,14,156,counts,,,,
WT-G-R1,PD630_LPD06190,14,119,counts,,,,
WT-G-R1,PD630_LPD07529,14,61,counts,,,,
WT-G-R1,PD630_LPD07586,14,13,counts,,,,
WT-G-R1,PD630_LPD05298,14,3852,counts,,,,
WT-G-R1,PD630_LPD05583,14,242,counts,,,,
WT-G-R1,PD630_LPD11054,14,4,counts,,,,
WT-G-R1,PD630_LPD01596,14,2156,counts,,,,
WT-G-R1,PD630_LPD04066,14,422,counts,,,,
WT-G-R1,PD630_LPD06570,14,5,counts,,,,
WT-G-R1,PD630_LPD02323,14,93,counts,,,,
WT-G-R1,PD630_LPD04132,14,3240,counts,,,,
WT-G-R1,PD630_LPD00934,14,1528,counts,,,,
WT-G-R1,PD630_LPD01791,14,1131,counts,,,,
