Line Name,Measurement Type,Time,Value,Units
WT-C3-R7,Optical Density,54.7325,0.429615949,n/a
WT-C3-R7,Optical Density,63.22666667,0.393071048,n/a
WT-C3-R8,Optical Density,0,0.011028653,n/a
WT-C3-R8,Optical Density,3.815277778,0.014979461,n/a
WT-C3-R8,Optical Density,10.57694444,0.024263836,n/a
WT-C3-R8,Optical Density,14.79083333,0.019325341,n/a
WT-C3-R8,Optical Density,19.89388889,0.025449081,n/a
WT-C3-R8,Optical Density,23.24555556,0.047771111,n/a
WT-C3-R8,Optical Density,29.30138889,0.058438246,n/a
WT-C3-R8,Optical Density,34.14083333,0.092020055,n/a
WT-C3-R8,Optical Density,40.13944444,0.152664831,n/a
WT-C3-R8,Optical Density,45.16194444,0.196321174,n/a
WT-C3-R8,Optical Density,50.67194444,0.285411721,n/a
WT-C3-R8,Optical Density,54.7325,0.348031872,n/a
WT-C3-R8,Optical Density,63.22666667,0.304375588,n/a
WT-C4-R1,Optical Density,0,0.013596686,n/a
WT-C4-R1,Optical Density,3.815277778,0.015572076,n/a
WT-C4-R1,Optical Density,10.57694444,0.025844154,n/a
WT-C4-R1,Optical Density,14.79083333,0.013004056,n/a
WT-C4-R1,Optical Density,19.89388889,0.012806514,n/a
WT-C4-R1,Optical Density,23.24555556,0.013991758,n/a
WT-C4-R1,Optical Density,29.30138889,0.015177004,n/a
WT-C4-R1,Optical Density,34.14083333,0.019720412,n/a
WT-C4-R1,Optical Density,40.13944444,0.024263836,n/a
WT-C4-R1,Optical Density,45.16194444,0.066734948,n/a
WT-C4-R1,Optical Density,50.67194444,0.095970864,n/a
WT-C4-R1,Optical Density,54.7325,0.14910911,n/a
WT-C4-R1,Optical Density,63.22666667,0.259731528,n/a
WT-C4-R2,Optical Density,0,0.000954118,n/a
WT-C4-R2,Optical Density,3.815277778,0.004707384,n/a
WT-C4-R2,Optical Density,10.57694444,0.013004056,n/a
WT-C4-R2,Optical Density,14.79083333,0.003324594,n/a
WT-C4-R2,Optical Density,19.89388889,-0.000231126,n/a
WT-C4-R2,Optical Density,23.24555556,0.000756576,n/a
WT-C4-R2,Optical Density,29.30138889,-0.000823742,n/a
WT-C4-R2,Optical Density,34.14083333,0.002534436,n/a
WT-C4-R2,Optical Density,40.13944444,0.008065562,n/a
WT-C4-R2,Optical Density,45.16194444,0.038289178,n/a
WT-C4-R2,Optical Density,50.67194444,0.072463588,n/a
WT-C4-R2,Optical Density,54.7325,0.112761752,n/a
WT-C4-R2,Optical Density,63.22666667,0.221211224,n/a
WT-C4-R3,Optical Density,0,0.014781918,n/a
WT-C4-R3,Optical Density,3.815277778,0.014189302,n/a
WT-C4-R3,Optical Density,10.57694444,0.033548226,n/a
WT-C4-R3,Optical Density,14.79083333,0.020708114,n/a
WT-C4-R3,Optical Density,19.89388889,0.0201155,n/a
WT-C4-R3,Optical Density,23.24555556,0.020905658,n/a
WT-C4-R3,Optical Density,29.30138889,0.023276134,n/a
WT-C4-R3,Optical Density,34.14083333,0.030980206,n/a
WT-C4-R3,Optical Density,40.13944444,0.063969372,n/a
WT-C4-R3,Optical Density,45.16194444,0.117700248,n/a
WT-C4-R3,Optical Density,50.67194444,0.152467288,n/a
WT-C4-R3,Optical Density,54.7325,0.208963742,n/a
WT-C4-R3,Optical Density,63.22666667,0.339537656,n/a
WT-C4-R4,Optical Density,0,0.011226196,n/a
WT-C4-R4,Optical Density,3.815277778,0.011621282,n/a
WT-C4-R4,Optical Density,10.57694444,0.028214644,n/a
WT-C4-R4,Optical Density,14.79083333,0.019917956,n/a
WT-C4-R4,Optical Density,19.89388889,0.006485244,n/a
WT-C4-R4,Optical Density,23.24555556,0.010436038,n/a
WT-C4-R4,Optical Density,29.30138889,0.009250806,n/a
WT-C4-R4,Optical Density,34.14083333,0.013991758,n/a
WT-C4-R4,Optical Density,40.13944444,0.022288446,n/a
WT-C4-R4,Optical Density,45.16194444,0.063179228,n/a
WT-C4-R4,Optical Density,50.67194444,0.093205286,n/a
WT-C4-R4,Optical Density,54.7325,0.12481169,n/a
WT-C4-R4,Optical Density,63.22666667,0.24590373,n/a
WT-C4-R5,Optical Density,0,0.005497542,n/a
WT-C4-R5,Optical Density,3.815277778,0.013794215,n/a
WT-C4-R5,Optical Density,10.57694444,0.022288447,n/a
WT-C4-R5,Optical Density,14.79083333,0.015967163,n/a
WT-C4-R5,Optical Density,19.89388889,0.017349937,n/a
WT-C4-R5,Optical Density,23.24555556,0.02189336,n/a
WT-C4-R5,Optical Density,29.30138889,0.011621283,n/a
WT-C4-R5,Optical Density,34.14083333,0.029992505,n/a
WT-C4-R5,Optical Density,40.13944444,0.012411441,n/a
WT-C4-R5,Optical Density,45.16194444,0.025449081,n/a
WT-C4-R5,Optical Density,50.67194444,0.046980938,n/a
WT-C4-R5,Optical Density,54.7325,0.072463588,n/a
WT-C4-R5,Optical Density,63.22666667,0.169258207,n/a
WT-C4-R6,Optical Density,0,0.012016355,n/a
WT-C4-R6,Optical Density,3.815277778,0.015769619,n/a
WT-C4-R6,Optical Density,10.57694444,0.026041697,n/a
WT-C4-R6,Optical Density,14.79083333,0.015769619,n/a
WT-C4-R6,Optical Density,19.89388889,0.017349937,n/a
WT-C4-R6,Optical Density,23.24555556,0.023276134,n/a
WT-C4-R6,Optical Density,29.30138889,0.014781917,n/a
WT-C4-R6,Optical Density,34.14083333,0.033943298,n/a
WT-C4-R6,Optical Density,40.13944444,0.023276134,n/a
WT-C4-R6,Optical Density,45.16194444,0.039671952,n/a
WT-C4-R6,Optical Density,50.67194444,0.080562747,n/a
WT-C4-R6,Optical Density,54.7325,0.126194494,n/a
WT-C4-R6,Optical Density,63.22666667,0.225557089,n/a
WT-C4-R7,Optical Density,0,0.025844153,n/a
WT-C4-R7,Optical Density,3.815277778,0.030782663,n/a
WT-C4-R7,Optical Density,10.57694444,0.043227673,n/a
WT-C4-R7,Optical Density,14.79083333,0.033350683,n/a
WT-C4-R7,Optical Density,19.89388889,0.036906404,n/a
WT-C4-R7,Optical Density,23.24555556,0.042437529,n/a
WT-C4-R7,Optical Density,29.30138889,0.035128543,n/a
WT-C4-R7,Optical Density,34.14083333,0.056067785,n/a
WT-C4-R7,Optical Density,40.13944444,0.067327549,n/a
WT-C4-R7,Optical Density,45.16194444,0.134491167,n/a
WT-C4-R7,Optical Density,50.67194444,0.197703948,n/a
WT-C4-R7,Optical Density,54.7325,0.251039768,n/a
WT-C4-R7,Optical Density,63.22666667,0.35020482,n/a
WT-C4-R8,Optical Density,0,0.015177004,n/a
WT-C4-R8,Optical Density,3.815277778,0.017349937,n/a
WT-C4-R8,Optical Density,10.57694444,0.027819557,n/a
WT-C4-R8,Optical Density,14.79083333,0.013596687,n/a
WT-C4-R8,Optical Density,19.89388889,0.013399143,n/a
WT-C4-R8,Optical Density,23.24555556,0.019720413,n/a
WT-C4-R8,Optical Density,29.30138889,0.011028653,n/a
WT-C4-R8,Optical Density,34.14083333,0.029597418,n/a
WT-C4-R8,Optical Density,40.13944444,0.018337639,n/a
WT-C4-R8,Optical Density,45.16194444,0.047376025,n/a
WT-C4-R8,Optical Density,50.67194444,0.063969371,n/a
WT-C4-R8,Optical Density,54.7325,0.097748724,n/a
WT-C4-R8,Optical Density,63.22666667,0.188024501,n/a
WT-C5-R1,Optical Density,0,0.001546734,n/a
WT-C5-R1,Optical Density,3.815277778,0.007275402,n/a
WT-C5-R1,Optical Density,10.57694444,0.018337638,n/a
WT-C5-R1,Optical Density,14.79083333,0,n/a
WT-C5-R1,Optical Density,19.89388889,0,n/a
WT-C5-R1,Optical Density,23.24555556,0,n/a
WT-C5-R1,Optical Density,29.30138889,0,n/a
WT-C5-R1,Optical Density,34.14083333,0,n/a
WT-C5-R1,Optical Density,40.13944444,0,n/a
WT-C5-R1,Optical Density,45.16194444,0.000954118,n/a
WT-C5-R1,Optical Density,50.67194444,0,n/a
WT-C5-R1,Optical Density,54.7325,0,n/a
WT-C5-R1,Optical Density,63.22666667,0,n/a
WT-C5-R2,Optical Density,0,0.012806514,n/a
WT-C5-R2,Optical Density,3.815277778,0.019917956,n/a
WT-C5-R2,Optical Density,10.57694444,0.030782664,n/a
WT-C5-R2,Optical Density,14.79083333,0.014189302,n/a
WT-C5-R2,Optical Density,19.89388889,0.011226196,n/a
WT-C5-R2,Optical Density,23.24555556,0.007275402,n/a
WT-C5-R2,Optical Density,29.30138889,0.005695086,n/a
WT-C5-R2,Optical Density,34.14083333,0.007868018,n/a
WT-C5-R2,Optical Density,40.13944444,0.003522138,n/a
WT-C5-R2,Optical Density,45.16194444,0.01497946,n/a
WT-C5-R2,Optical Density,50.67194444,0.006485244,n/a
WT-C5-R2,Optical Density,54.7325,0.010831124,n/a
