reaction_id,reaction,genes
HDAD,49dsha_c + h2o_c --> hhd_c + hip_c,WP_005244806_1
HEMEOS,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c,WP_005241796_1
HETZK,4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c,
HEX1,atp_c + glc__D_c --> adp_c + g6p_c + h_c,WP_005240845_1 or WP_005248548_1 or WP_025431969_1 or WP_025432884_1 or WP_025432958_1
HEX1_1,atp_c + glc__D_c --> adp_c + g6p_c + h_c,WP_025433212_1
HEX4,atp_c + man_c --> adp_c + h_c + man6p_c,
HEX7,atp_c + fru_c --> adp_c + f6p_c + h_c,WP_025433325_1
HEXSabc,atp_c + h2o_c + hexs_e --> adp_c + h_c + hexs_c + pi_c,WP_005244174_1 and WP_025432312_1
HEXTT,hexdp_c + ipdp_c --> hepdp_c + ppi_c,WP_016882791_1
HG2t3pp,h_p + hg2_c --> h_c + hg2_p,WP_005238136_1
HG2tppi,hg2_p --> hg2_c,
HGNTOR,hgentis_c + o2_c --> 4mlacac_c + h_c,
HHDDI,2hh24dd_c <=> 2ohed_c,WP_005240391_1
HIAA,h2o_c + hipocoa_c --> accoa_c + hia_c,
HIAt,hia_e <=> hia_c,
HIBD,3hmp_c + nad_c --> 2mop_c + h_c + nadh_c,WP_005252877_1
HICITD,hicit_c + nad_c <=> 2oxoadp_c + co2_c + 3.0 h_c + nadh_c,WP_005238486_1
HIPA,h_c + hip_c + nadh_c --> 5ohhip_c + nad_c,
HIPB,h_c + hipcoa_c + nadh_c --> 5ohhipcoa_c + nad_c,
HISDr,his__L_c --> nh4_c + urcan_c,WP_005250990_1 or WP_025432949_1 or WP_025433165_1
HISGLYabcpp,atp_c + h2o_c + hisgly_p --> adp_c + h_c + hisgly_c + pi_c,( WP_005237762_1 and WP_005237763_1 and WP_025431616_1 and WP_050983264_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_025431616_1 and WP_025433508_1 and WP_050983264_1 )
HISGLYtex,hisgly_e <=> hisgly_p,
HISHISabcpp,atp_c + h2o_c + hishis_p --> adp_c + h_c + hishis_c + pi_c,( WP_005237762_1 and WP_005237763_1 and WP_025431616_1 and WP_050983264_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_025431616_1 and WP_025433508_1 and WP_050983264_1 )
HISHIStex,hishis_e <=> hishis_p,
HISTD,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,WP_005247527_1
HISTDa,histd_c + nad_c <=> h_c + histda_c + nadh_c,WP_005241304_1
HISTDb,h2o_c + histda_c + nad_c --> 2.0 h_c + his__L_c + nadh_c,WP_005241304_1
HISTP,h2o_c + hisp_c --> histd_c + pi_c,WP_005240212_1 or WP_005247522_1
HISTP_1,h2o_c + hisp_c --> histd_c + pi_c,WP_025433624_1
HISabc,atp_c + h2o_c + his__L_e --> adp_c + h_c + his__L_c + pi_c,WP_005242885_1 or WP_005251655_1 or WP_025432117_1 or WP_164709508_1
HISabcpp,atp_c + h2o_c + his__L_p --> adp_c + h_c + his__L_c + pi_c,WP_025432387_1 or WP_179443303_1 or ( WP_005247450_1 and WP_005247455_1 and WP_005247457_1 and WP_025432851_1 and WP_025432852_1 )
HIStex,his__L_e <=> his__L_p,
HIUH_c,5hiu_c + h2o_c <=> 5houdic_c,
HKNDDH,h2o_c + hkndd_c --> h_c + op4en_c + succ_c,WP_025433435_1
HKNTDH,h2o_c + hkntd_c --> fum_c + h_c + op4en_c,WP_025433435_1
HKtpp,atp_c + h2o_c + k_p --> adp_c + h_p + k_c + pi_c,WP_005247909_1 and WP_025432918_1
HMBS,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,WP_005251984_1
HMEDR,2.0 h_c + hmbpp_c + nadh_c --> h2o_c + ipdp_c + nad_c,WP_005239003_1
HMEDS,2mecdp_c + 2.0 fdxrd_c --> 2.0 fdxox_c + h2o_c + hmbpp_c,WP_005240557_1
HMGCOAS,coa_c + h_c + hmgcoa_c <-- aacoa_c + accoa_c + h2o_c,WP_005243387_1
HMGL,hmgcoa_c --> acac_c + accoa_c,WP_005250875_1 or WP_025431938_1 or WP_037179844_1
HMGL_2,hmgcoa_c --> acac_c + accoa_c,WP_005240908_1 or WP_005245231_1 or WP_005245666_1 or WP_005249167_1 or WP_005250878_1 or WP_005252928_1 or WP_080578324_1 or WP_143767495_1
HMPK1,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c,WP_005251723_1
HMPK2,4ahmmp_c + ctp_c --> 4ampm_c + cdp_c + h_c,WP_005251723_1
HMPK3,4ahmmp_c + utp_c --> 4ampm_c + h_c + udp_c,WP_005251723_1
HMPK4,4ahmmp_c + gtp_c --> 4ampm_c + gdp_c + h_c,WP_005251723_1
HMPSCD,hmpscoa_c + nad_c <=> h_c + nadh_c + sbzcoa_c,WP_005242751_1
HMR_0188,atp_c + coa_c + ddca_c --> amp_c + ddcacoa_c + ppi_c,WP_005250931_1
HMR_0260,h2o_c + vacccoa_c --> coa_c + h_c + vacc_c,WP_005250641_1
HMR_3951,na1_c + so3_c <-- na1_e + so3_e,WP_005250201_1
HMR_6515,mercppyr_c + so3_c --> pyr_c + tsul_c,
HMR_9610,na1_e + succ_e --> na1_c + succ_c,WP_025433491_1
HOMt2pp,h_p + hom__L_c --> h_c + hom__L_p,WP_005247535_1 or WP_005252174_1
HOMtpp,h_p + hom__L_p --> h_c + hom__L_c,
HOPNTAL,4h2opntn_c --> acald_c + pyr_c,WP_005244820_1 or WP_005245212_1
HOPNTAL2,4hoxoh_c --> ppal_c + pyr_c,WP_005244820_1
HPA3MO,4hphac_c + h_c + nadh_c + o2_c --> 34dhpha_c + h2o_c + nad_c,WP_005251125_1 or WP_025433065_1 or WP_025433337_1 or ( WP_005251125_1 and WP_025433337_1 )
HPACt2r,4hphac_e + h_e --> 4hphac_c + h_c,WP_005251503_1
HPAtexi,hpta_e --> hpta_p,
HPHACA,2hyoxplac_c + h_c + nadh_c + o2_c --> h2o_c + hgentis_c + nad_c,
HPPK,2ahhmp_c + atp_c --> 2ahhmd_c + amp_c + h_c,WP_025431747_1
HPPK2,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,WP_025431747_1
HPPPNDO,dhpppn_c + o2_c --> h_c + hkndd_c,WP_005245205_1
HPPPNt2rpp,3hpppn_p + h_p --> 3hpppn_c + h_c,WP_005237868_1
HPPPNtex,3hpppn_e <=> 3hpppn_p,
HPROb,1p3h5c_c + 2.0 h_c + nadph_c <=> 4hpro_LT_c + nadp_c,
HPYRI,hpyr_c <=> 2h3oppan_c,WP_005251011_1
HPYRP,3php_c + h2o_c --> hpyr_c + pi_c,WP_025431724_1
HPYRRx,h_c + hpyr_c + nadh_c --> glyc__R_c + nad_c,WP_005244238_1 or WP_005244620_1 or WP_037179823_1 or WP_043944104_1
HPYRRy,h_c + hpyr_c + nadph_c --> glyc__R_c + nadp_c,WP_043944104_1
HSA,3hsa_c + fmnh2_c + o2_c --> 34dhsa_c + fmn_c + h2o_c,WP_005244804_1 and WP_011596917_1
HSAC,34dhsa_c + o2_c --> 49dsha_c,WP_005244805_1
HSAE,h2o_c + hhd_c --> 4hoxoh_c + h_c,WP_005244822_1
HSDy,hom__L_c + nadp_c <=> aspsa_c + h_c + nadph_c,WP_005252944_1
HSERTA,accoa_c + hom__L_c --> achms_c + coa_c,WP_025433060_1 or WP_226955723_1
HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c,WP_005252946_1
HSTPT,glu__L_c + imacp_c --> akg_c + hisp_c,WP_005247524_1 or WP_025431674_1
HVCD,3optcoa_c + h_c + nadh_c <=> 3hptcoa_c + nad_c,WP_005240908_1 or WP_005248903_1 or WP_005250769_1 or WP_005251685_1
HXAND,h2o_c + hxan_c + nad_c --> h_c + nadh_c + xan_c,WP_005244063_1 or WP_005250106_1 or WP_005250254_1 or WP_005250256_1 or WP_005250330_1 or WP_025431770_1
HXANt2pp,h_p + hxan_p --> h_c + hxan_c,WP_005244137_1
HXANt2r,h_e + hxan_e --> h_c + hxan_c,WP_005244137_1
HXAtex,hxa_e <=> hxa_p,
HXPRT,hxan_c + prpp_c --> imp_c + ppi_c,WP_005244976_1
HYD1pp,h2_c + 2.0 h_c + q8_c --> 2.0 h_p + q8h2_c,WP_025431803_1
HYD2,h2_c + 2.0 h_c + mqn8_c --> 2.0 h_e + mql8_c,WP_005244642_1 and WP_005244670_1 and WP_005244678_1
HYD2pp,h2_c + 2.0 h_c + mqn8_c --> 2.0 h_p + mql8_c,WP_025431803_1
HYD3pp,2dmmq8_c + h2_c + 2.0 h_c --> 2dmmql8_c + 2.0 h_p,WP_025431803_1
HYXNtex,hxan_e <=> hxan_p,
ICAPt,isocap_c --> isocap_e,
ICCT,h2o_c + isocapcoa_c --> coa_c + h_c + isocap_c,WP_005250413_1
ICDHx,icit_c + nad_c <=> akg_c + co2_c + nadh_c,WP_005248976_1
ICDHyr,icit_c + nadp_c <=> akg_c + co2_c + nadph_c,WP_005239870_1 or WP_005242822_1 or WP_005248976_1
ICHORS,chor_c <=> ichor_c,WP_005244440_1
ICHORT,h2o_c + ichor_c --> 23ddhb_c + pyr_c,WP_005251483_1
ICITt4pp,icit_p + na1_p --> icit_c + na1_c,WP_005240628_1 and WP_005250720_1
ICITt_kt,h_p + icit_p --> h_c + icit_c,WP_005244287_1 or WP_025431984_1
ICITtex,icit_e <=> icit_p,
ICITtupp,icit_p --> icit_c,WP_005240628_1 and WP_005250720_1
ICL,icit_c --> glx_c + succ_c,WP_005251848_1
IDOND,5dglcn_c + h_c + nadh_c <=> idon__L_c + nad_c,WP_005258023_1
IDOND2,5dglcn_c + h_c + nadph_c --> idon__L_c + nadp_c,WP_005258023_1
IG3PS,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,WP_005247506_1 and WP_005247515_1
IGPDH,eig3p_c --> h2o_c + imacp_c,WP_005247522_1
IGPS,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,WP_005247490_1
ILEDHr,h2o_c + ile__L_c + nad_c <=> 2o3mpt_c + h_c + nadh_c + nh4_c,WP_005252725_1
ILEDHr_1,h2o_c + ile__L_c + nad_c <=> 3mop_c + h_c + nadh_c + nh4_c,WP_005250075_1
ILETA,akg_c + ile__L_c <=> 3mop_c + glu__L_c,WP_005247732_1 or WP_005250481_1
ILETA2,3mop_c + glu__L_c <=> akg_c + ile__L_c,WP_005250481_1
ILEabc,atp_c + h2o_c + ile__L_e --> adp_c + h_c + ile__L_c + pi_c,WP_005251655_1 or WP_025432117_1 or ( WP_005244316_1 and WP_005244318_1 and WP_005244465_1 )
ILEabcpp,atp_c + h2o_c + ile__L_p --> adp_c + h_c + ile__L_c + pi_c,WP_025431853_1 or WP_025432387_1 or ( WP_005244312_1 and WP_005244316_1 ) or ( WP_005244316_1 and WP_005244318_1 ) or ( WP_005244318_1 and WP_005244465_1 ) or ( WP_005244314_1 and WP_005244316_1 and WP_005244318_1 ) or ( WP_005244316_1 and WP_005244318_1 and WP_005244465_1 )
ILEt2r,h_e + ile__L_e --> h_c + ile__L_c,WP_005246089_1 or ( WP_005249992_1 and WP_025433516_1 )
ILEtex,ile__L_e <=> ile__L_p,
IMPC,h2o_c + imp_c <=> fprica_c,WP_005238563_1
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,WP_005244633_1 or WP_005246355_1 or ( WP_005239781_1 and WP_005239789_1 and WP_005246071_1 )
IND3ACtex,ind3ac_p <=> ind3ac_e,
IND3ACtpp,h_p + ind3ac_c --> h_c + ind3ac_p,
INDOLEt5,h_p + indole_c --> h_c + indole_e,WP_009474664_1
INDOLEt6,h_p + indole_p --> h_c + indole_e,WP_009474664_1
INDOLEtex,indole_e <=> indole_p,
INOSR,inost_c + nadp_c <-- 2ins_c + h_c + nadph_c,WP_005243493_1 or WP_025431999_1
INS2D,inost_c + nad_c --> 2ins_c + h_c + nadh_c,WP_005237814_1 or WP_005252332_1 or WP_025432957_1
INSCR,2ins_c + atp_c --> adp_c + dhap_c + 2.0 h_c + msa_c,WP_005248145_1 and WP_005248166_1 and WP_025432019_1 and WP_025432955_1 and WP_025432956_1
INSH,h2o_c + ins_c --> hxan_c + rib__D_c,WP_005246065_1 or WP_025432641_1
INSTabc,atp_c + h2o_c + inost_e --> adp_c + h_c + inost_c + pi_c,WP_025432120_1 and WP_226955514_1
INSTt2,h_e + inost_e --> h_c + inost_c,WP_005250354_1 or WP_037178950_1
INSt2,h_e + ins_e --> h_c + ins_c,WP_005252714_1
INSt3pp,h_p + ins_c --> h_c + ins_p,WP_226955745_1
INStex,ins_e <=> ins_p,
IPDAB,5ohhip_c + atp_c + coa_c + 3.0 h_c --> 5ohhipcoa_c + amp_c + ppi_c,WP_005244597_1 and WP_005244598_1
IPDDI,ipdp_c <=> dmpp_c,WP_005243003_1 or WP_005246516_1
IPDPS,h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,WP_025432847_1
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,WP_005240388_1 or WP_005248976_1 or WP_025431856_1
IPPMIa,3c2hmp_c <=> 2ippm_c + h2o_c,WP_005237932_1 or ( WP_005240402_1 and WP_025432333_1 )
IPPMIb,2ippm_c + h2o_c <=> 3c3hmp_c,WP_005237932_1 or ( WP_005240402_1 and WP_025432333_1 )
IPPS,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,WP_005238486_1 or WP_005243769_1 or WP_005248627_1
ISETACabcpp,atp_c + h2o_c + isetac_p --> adp_c + h_c + isetac_c + pi_c,WP_005244176_1 or WP_005250727_1 or WP_005250729_1 or WP_143767463_1 or ( WP_005244169_1 and WP_005244176_1 ) or ( WP_005244176_1 and WP_005246633_1 ) or ( WP_005244194_1 and WP_005248551_1 ) or ( WP_005250727_1 and WP_005250729_1 ) or ( WP_005250729_1 and WP_143767463_1 ) or ( WP_005244169_1 and WP_005244176_1 and WP_005246633_1 ) or ( WP_005244176_1 and WP_005246633_1 and WP_025432639_1 ) or ( WP_005246626_1 and WP_005246633_1 and WP_025432639_1 )
ISETACtex,isetac_e <=> isetac_p,
ISOAML,bglyg4n_c + h2o_c --> maltttr_c,WP_005240307_1
ISTNTabc,atp_c + h2o_c + istnt_e --> adp_c + h_c + istnt_c + pi_c,WP_005244174_1 and WP_025432312_1
IVCS,3mb_c + atp_c + coa_c --> amp_c + ivcoa_c + ppi_c,WP_005250849_1
IZPN,4izp_c + h2o_c --> forglu_c,WP_025431817_1
IZPN_1,4izp_c + h2o_c --> forglu_c,WP_025432098_1
KARA1,23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c,WP_061700158_1
KARA2,2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,WP_061700158_1
KAS1,14.0 h_c + ibcoa_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa1_c + 4.0 h2o_c + 10.0 nadp_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS11,17.0 h_c + ivcoa_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + fa11_c + 5.0 h2o_c + 12.0 nadp_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS12,2mbcoa_c + 17.0 h_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + fa12_c + 5.0 h2o_c + 12.0 nadp_c,WP_005245262_1 or ( WP_005245262_1 and WP_143767456_1 )
KAS13,accoa_c + 23.0 h_c + 8.0 malcoa_c + 16.0 nadph_c --> 8.0 co2_c + 9.0 coa_c + 7.0 h2o_c + 16.0 nadp_c + ocdca_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS17,accoa_c + 22.0 h_c + 8.0 malcoa_c + 15.0 nadph_c --> 8.0 co2_c + 9.0 coa_c + 7.0 h2o_c + 15.0 nadp_c + ocdcea_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS2,accoa_c + 17.0 h_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + 5.0 h2o_c + 12.0 nadp_c + ttdca_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS3,14.0 h_c + ivcoa_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa3_c + 4.0 h2o_c + 10.0 nadp_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS4,2mbcoa_c + 14.0 h_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa4_c + 4.0 h2o_c + 10.0 nadp_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS6,17.0 h_c + ibcoa_c + 6.0 malcoa_c + 12.0 nadph_c --> 6.0 co2_c + 7.0 coa_c + fa6_c + 5.0 h2o_c + 12.0 nadp_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS7,accoa_c + 19.0 h_c + 7.0 malcoa_c + 13.0 nadph_c --> 7.0 co2_c + 8.0 coa_c + 6.0 h2o_c + hdcea_c + 13.0 nadp_c,( WP_005245262_1 and WP_025432573_1 ) or ( WP_005245262_1 and WP_143767456_1 )
KAS8,accoa_c + 20.0 h_c + 7.0 malcoa_c + 14.0 nadph_c --> 7.0 co2_c + 8.0 coa_c + 6.0 h2o_c + hdca_c + 14.0 nadp_c,WP_005245262_1 or ( WP_005245262_1 and WP_143767456_1 )
KAT10,3ohpcoa_c + coa_c --> accoa_c + ptcoa_c,
KAT16,3ophxacoa_c + coa_c --> accoa_c + pbcoa_c,
KAT18,3opbcoa_c + coa_c --> accoa_c + phaccoa_c,
KAT20,3ovacccoa_c + coa_c --> accoa_c + hdcoa_c,
KAT21,3ohdccoa_c + coa_c --> accoa_c + tdecoa_c,
KAT23,3oddccoa_c + coa_c --> accoa_c + decoa_c,
KAT24,3oodecoa_c + coa_c --> accoa_c + hdd7coa_c,
KAT25,3ohdd7coa_c + coa_c --> accoa_c + tded5coa_c,
KAT26,3odd5coa_c + coa_c --> accoa_c + dded3coa_c,
KAT27,3optslacoa_c + coa_c --> accoa_c + hdd4coa_c,
KAT28,3ohdd4coa_c + coa_c --> accoa_c + tde_2Z_coa_c,
KAT29,3olnlccoa_c + coa_c --> accoa_c + hd_7_10_coa_c,
KAT30,3ohd710coa_c + coa_c --> accoa_c + td_5_8_coa_c,
KAT31,3ohd58coa_c + coa_c --> accoa_c + dd_3_6_coa_c,
KAT32,3odd6coa_c + coa_c --> accoa_c + dec4coa_c,
KAT33,3oxptcoa_c + coa_c --> accoa_c + ppcoa_c,
KG6PDC,3dhgulnp_c + h_c --> co2_c + xu5p__L_c,
KGD2,co2_c + 2.0 fdxrd_c + h_c + succoa_c <-- akg_c + coa_c + 2.0 fdxox_c,WP_037179071_1 or ( WP_005251358_1 and WP_005251360_1 )
KSH,andrs14dn317dn_c + h_c + nadh_c + o2_c --> 9ohadd_c + h2o_c + nad_c,WP_005239437_1 and WP_025431775_1
KSTD,andrstndn_c + nad_c --> andrs14dn317dn_c + h_c + nadh_c,WP_005244823_1
Kabc,atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c,WP_005252898_1 or ( WP_005247909_1 and WP_025432918_1 and WP_025432919_1 )
Kabcpp,atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c,WP_005247903_1
Kt1,k_e <=> k_c,WP_005259666_1 or ( WP_005240868_1 and WP_005240869_1 )
Kt2pp,h_p + k_p --> h_c + k_c,WP_005259666_1 or WP_037180845_1
Kt2r,h_e + k_e --> h_c + k_c,WP_005244860_1
Kt3pp,h_p + k_c --> h_c + k_p,WP_005240833_1 or WP_005245429_1 or WP_005251758_1
Kt3r,h_e + k_c --> h_c + k_e,WP_005251756_1 or WP_005251757_1
L2OA,h_c + isocaprecoa_c + nadh_c --> isocapcoa_c + nad_c,WP_005250947_1
LAAL1,atp_c + 2.0 gly_c --> adp_c + glygly_c + h_c + pi_c,WP_226955751_1
LACZ,h2o_c + lcts_c --> gal_c + glc__D_c,WP_043943654_1
LACZpp,h2o_p + lcts_p --> gal_p + glc__D_p,
LADGMDH,LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c,
LALALGLUtex,LalaLglu_e <=> LalaLglu_p,
LALDO,gthrd_c + lald__D_c + nad_c <=> h_c + lgt__S_c + nadh_c,WP_005250046_1
LALDO2x,h_c + mthgxl_c + nadh_c --> lald__D_c + nad_c,WP_025431806_1
LALGP,LalaLglu_c + h2o_c --> ala__L_c + glu__L_c,WP_005247736_1
LAT,akg_c + lys__L_c <=> L2aadp6sa_c + glu__L_c,WP_005239956_1
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,WP_005239591_1 or WP_005242102_1 or WP_005245403_1 or WP_005250073_1 or WP_005250821_1 or WP_005250914_1 or WP_005251153_1
LCARR,h_c + lald__D_c + nadh_c <=> 12ppd__R_c + nad_c,WP_005250208_1 or WP_025431806_1
LCARS,h_c + lald__L_c + nadh_c <=> 12ppd__S_c + nad_c,WP_005244333_1 or WP_005244787_1 or WP_005250046_1 or WP_005250208_1 or WP_025432631_1 or WP_025433317_1 or WP_025433620_1
LCARSyi,h_c + lald__L_c + nadph_c --> 12ppd__S_c + nadp_c,WP_005242122_1
LCTSabc,atp_c + h2o_c + lcts_e --> adp_c + h_c + lcts_c + pi_c,WP_005250846_1
LCTSt3ipp,h_p + lcts_c --> h_c + lcts_p,WP_005243448_1 or WP_025431793_1 or WP_037181792_1
LCYSTabc,Lcyst_e + atp_c + h2o_c --> Lcyst_c + adp_c + h_c + pi_c,WP_005244174_1 and WP_025432312_1
LDGUNPD,5pg35pg_c + h2o_c --> 2.0 gmp_c + h_c,WP_005237778_1
LDH_D,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,WP_037179823_1
LDH_D2,lac__D_c + q8_c --> pyr_c + q8h2_c,WP_005242149_1
LDH_L,lac__L_c + nad_c <=> h_c + nadh_c + pyr_c,WP_005239478_1 or WP_025431976_1
LEULEULAPc,h2o_c + leuleu_c <=> 2.0 leu__L_c,WP_005247736_1
LEULEUabcpp,atp_c + h2o_c + leuleu_p --> adp_c + h_c + leuleu_c + pi_c,( WP_005237762_1 and WP_005237763_1 and WP_025431616_1 and WP_050983264_1 ) or ( WP_005237762_1 and WP_005237763_1 and WP_025431616_1 and WP_025433508_1 and WP_050983264_1 )
LEULEUtex,leuleu_e <=> leuleu_p,
LEUTA,akg_c + leu__L_c <=> 4mop_c + glu__L_c,WP_005247732_1 or WP_005250481_1
LEUTAi,4mop_c + glu__L_c --> akg_c + leu__L_c,WP_005250481_1
LEUabc,atp_c + h2o_c + leu__L_e --> adp_c + h_c + leu__L_c + pi_c,WP_005251655_1 or WP_025432117_1 or ( WP_005244316_1 and WP_005244318_1 and WP_005244465_1 )
LEUabcpp,atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c,WP_025431853_1 or WP_025432387_1 or ( WP_005244312_1 and WP_005244316_1 ) or ( WP_005244316_1 and WP_005244318_1 ) or ( WP_005244318_1 and WP_005244465_1 ) or ( WP_005244314_1 and WP_005244316_1 and WP_005244318_1 ) or ( WP_005244316_1 and WP_005244318_1 and WP_005244465_1 ) or ( WP_005247450_1 and WP_005247455_1 and WP_005247457_1 and WP_025432851_1 and WP_025432852_1 )
LEUt2r,h_e + leu__L_e --> h_c + leu__L_c,WP_005240568_1 or WP_005246089_1 or ( WP_005249992_1 and WP_025433516_1 )
LEUt4rpp,leu__L_p + na1_p <=> leu__L_c + na1_c,
LEVUACOAL,4oxptn_c + atp_c + coa_c --> 4oxptcoa_c + amp_c + ppi_c,WP_005246426_1
LGTHL,gthrd_c + mthgxl_c --> lgt__S_c,WP_005252063_1
LIPO1S24_BS,2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 udpg_c --> 2400.0 cmp_c + 4800.0 h_c + lipo1_24_BS_c + 2400.0 udp_c,
LIPO2S24_BS,2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 uacgam_c --> 2400.0 cmp_c + 4800.0 h_c + lipo2_24_BS_c + 2400.0 udp_c,
LIPO3S24_BS,2400.0 ala__D_c + 2400.0 atp_c + 2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 h2o_c --> 2400.0 amp_c + 2400.0 cmp_c + 4800.0 h_c + lipo3_24_BS_c + 2400.0 ppi_c,
LIPO4S24_BS,2400.0 cdpglyc_c + d12dg_BS_c --> 2400.0 cmp_c + 2400.0 h_c + lipo4_24_BS_c,
LLEUDr,h2o_c + leu__L_c + nad_c <=> 4mop_c + h_c + nadh_c + nh4_c,WP_005250075_1 or WP_005252725_1
LMN2,h2o_c + lmn2_c --> 2.0 glc__D_c,WP_005250470_1
LMN2abc,atp_c + h2o_c + lmn2_e --> adp_c + h_c + lmn2_c + pi_c,
LNLCtexi,lnlc_e --> lnlc_p,
LPLIPAL1A180pp,1odecg3p_p + h2o_p --> glyc3p_p + h_p + ocdca_p,
LPLIPAL1G160pp,1agpg160_p + h2o_p --> g3pg_p + h_p + hdca_p,
LPLIPAL2A120,2ddecg3p_c + h2o_c --> ddca_c + glyc3p_c + 2.0 h_c,WP_025433436_1
LPLIPAL2A141,2tdec7eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ttdcea_c,WP_025433436_1
LPLIPAL2A160,2hdecg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + hdca_c,WP_025433436_1
LPLIPAL2A161,2hdec9eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + hdcea_c,WP_025433436_1
LPLIPAL2A181,2odec11eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ocdcea_c,WP_025433436_1
LPLIPAL2E120,2agpe120_c + h2o_c --> ddca_c + g3pe_c + h_c,WP_025433436_1
LPLIPAL2E141,2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c,WP_025433436_1
LPLIPAL2E160,2agpe160_c + h2o_c --> g3pe_c + h_c + hdca_c,WP_005251426_1 or WP_025433436_1
LPLIPAL2E161,2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c,WP_025433436_1
LPLIPAL2E180,2agpe180_c + h2o_c --> g3pe_c + h_c + ocdca_c,WP_005243809_1 or WP_005243899_1 or WP_005247531_1 or WP_005251426_1 or WP_005252874_1 or WP_025433436_1 or ( WP_005244689_1 and WP_025431799_1 )
LPLIPAL2E181,2agpe181_c + h2o_c --> g3pe_c + h_c + ocdcea_c,WP_025433436_1
LPLIPAL2G120,2agpg120_c + h2o_c --> ddca_c + g3pg_c + h_c,WP_025433436_1
LPLIPAL2G141,2agpg141_c + h2o_c --> g3pg_c + h_c + ttdcea_c,WP_025433436_1
LPLIPAL2G160,2agpg160_c + h2o_c --> g3pg_c + h_c + hdca_c,WP_025433436_1
LPLIPAL2G161,2agpg161_c + h2o_c --> g3pg_c + h_c + hdcea_c,WP_025433436_1
LPLIPAL2G180,2agpg180_c + h2o_c --> g3pg_c + h_c + ocdca_c,WP_025433436_1
LPLIPAL2G181,2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c,WP_025433436_1
LSERDHr,nadp_c + ser__L_c <=> 2amsa_c + h_c + nadph_c,WP_005251916_1
LTDCL,h_c + trp__L_c --> co2_c + trypta_c,
