,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
KAT3,205.1407537087416,160.58818775798065,190.75808848744035,62.51562442880204,67.9847802547221,64.25055491510075,41.765699730089246,46.793445003803576,43.83316055874971,191.3861259120916,175.16077900524232,196.85194168437104,71.81709581868745,76.61157048185717,68.90287845088613,65.83478627369185,63.2127996353028,59.03425692527636,228.0555899117989,200.4297283578364,220.45927181475793,90.61173943227388,82.10099971750458,79.38693381181697
KAT4,205.1407537087416,160.58818775798065,190.75808848744035,62.51562442880204,67.9847802547221,64.25055491510075,41.765699730089246,46.793445003803576,43.83316055874971,191.3861259120916,175.16077900524232,196.85194168437104,71.81709581868745,76.61157048185717,68.90287845088613,65.83478627369185,63.2127996353028,59.03425692527636,228.0555899117989,200.4297283578364,220.45927181475793,90.61173943227388,82.10099971750458,79.38693381181697
KAT5,205.1407537087416,160.58818775798065,190.75808848744035,62.51562442880204,67.9847802547221,64.25055491510075,41.765699730089246,46.793445003803576,43.83316055874971,191.3861259120916,175.16077900524232,196.85194168437104,71.81709581868745,76.61157048185717,68.90287845088613,65.83478627369185,63.2127996353028,59.03425692527636,228.0555899117989,200.4297283578364,220.45927181475793,90.61173943227388,82.10099971750458,79.38693381181697
KAT6,205.1407537087416,160.58818775798065,190.75808848744035,62.51562442880204,67.9847802547221,64.25055491510075,41.765699730089246,46.793445003803576,43.83316055874971,191.3861259120916,175.16077900524232,196.85194168437104,71.81709581868745,76.61157048185717,68.90287845088613,65.83478627369185,63.2127996353028,59.03425692527636,228.0555899117989,200.4297283578364,220.45927181475793,90.61173943227388,82.10099971750458,79.38693381181697
KAT7,205.1407537087416,160.58818775798065,190.75808848744035,62.51562442880204,67.9847802547221,64.25055491510075,41.765699730089246,46.793445003803576,43.83316055874971,191.3861259120916,175.16077900524232,196.85194168437104,71.81709581868745,76.61157048185717,68.90287845088613,65.83478627369185,63.2127996353028,59.03425692527636,228.0555899117989,200.4297283578364,220.45927181475793,90.61173943227388,82.10099971750458,79.38693381181697
Kt1,62.637586280170396,58.769693598529,64.8542911901995,31.9077856252865,31.998423108717006,33.0163435476138,59.147956265155194,52.93376131651989,52.0054447307201,45.07456617828851,45.038700831865306,44.5098053739246,33.331699643715126,34.227602781818334,36.04577142299875,61.94224106984881,52.9007605430838,54.3297274530821,41.4704796719882,40.957379273122996,43.0121960017736,53.740473120736894,49.699371874213895,48.9356873294915
Kt2pp,119.85154454626819,114.6743646341298,119.67778534298141,56.25224428754214,49.089568982809254,51.96322251527854,133.2639667688396,112.4313090362882,124.81306735372812,106.11806288765519,98.95566712545349,113.83058954740274,53.47796790226583,54.691339764139514,58.22778460638261,119.48421364839692,108.27641046830001,118.8273089267131,110.9511596788434,109.1470585948651,113.36412792370282,120.01235701402238,117.8777971278046,135.5881817055125
Kt2r,88.26688728784613,92.85611588567583,98.05968827958158,56.01589031994736,81.65769695399584,51.40044393208059,100.18939530628343,103.00909952194775,121.41679341213006,79.30231161848619,66.03209937156427,85.95231941273941,47.32030451427031,50.613157305029155,46.02767735552153,131.92343419111256,104.66719678602334,130.1333555615026,60.1866776074142,66.88252891940843,66.34674767884907,191.1040142813649,238.87762610509296,201.5124591777755
Kt3pp,89.75572635053268,91.82764624770161,102.2103629157543,633.3104561700377,749.1618941477054,504.9061855591063,183.4793745368085,183.4684167230582,198.4697584621358,83.5205196832993,68.6215934645668,87.0429118874451,326.08843506863553,354.8018739425927,357.9622377468576,248.69979030640184,238.8268253757933,282.651165869736,59.8661947660542,67.5361041205753,69.3071012498213,206.5272890783477,261.3225037257057,202.47407748774359
Kt3r,173.4497508029845,177.0437019655688,171.7341630716482,214.4912255922032,213.82922504697507,228.5819012089064,173.58114512100673,174.68141234451568,169.60142995855233,151.49392964200172,150.3756212579321,169.314481698053,287.2683832747498,278.26312814750565,330.927909179608,253.10005879770262,243.9828449219032,254.12047100610562,173.6376034488658,158.3830570827685,186.8505518619556,442.6961844071472,341.06088474630394,422.36413103379846
LA4NTGM2pp,0.95711082601279,1.3957802229650602,2.07533731808638,2.0090087245550703,1.61416377699759,1.1255571663959298,1.20710114826848,1.16454274896344,1.06133560674939,1.08468207380908,1.38722897839421,1.09059247470565,1.4055535994337698,1.16519498831722,0.277275164792298,0.592343835367407,0.8249631273775241,0.758795076160365,1.5383176385281598,0.4357168007779051,1.39310756281048,0.481977337405712,1.09693010927807,0.641078873312116
LACD,26.373720539019107,23.360953205415306,21.6180970633998,25.762582467823897,29.4347512276031,29.264486326294108,15.2094744681828,17.7857438023507,21.120578574312802,31.757080716521397,23.5828926327015,30.5365892917583,34.938046614496606,33.790654661199305,28.9752547207952,23.609132866786695,19.7991150570606,22.9914908076591,29.228035132034996,25.707291245896396,33.0863046167489,63.139031200148295,53.580816876274795,59.6203352180268
LacR,2.1269129466950902,2.93848467992645,1.55650298856479,1.06359285417622,1.70911458740922,1.2193535969289198,0.96568091861478,0.952807703697358,0.212267121349878,1.98858380198332,3.60679534382494,3.40810148345517,1.5394158469988897,1.5293184221663505,1.10910065916919,0.4231027395481479,0.7218427364553341,0.607036060928292,3.33302155014434,5.22860160933486,2.43793823491834,0.0,0.7594131525771229,0.534232394426763
LACZ,27.9689052490404,24.1690364923951,23.520489604979,33.6804403822468,37.1257668709446,20.822807578324607,38.6272367445912,46.0523723453723,43.8331605587497,26.5747108083225,23.2129649051297,24.879140829222802,8.70104609173288,8.957436472688618,5.12959054865752,11.0006712282518,12.8900488652738,15.4035400460554,19.869936164322,22.87513204084,19.677644324698,2.40988668702856,4.38772043711227,2.0300830988217
LALDO,5.8490106034114895,5.656583008858418,5.18834329521596,69.8425974242382,72.0676651024219,57.122026194593204,17.8650969943734,21.279372049240997,18.1488388754145,4.3989884104479415,4.994024322219151,4.22604583948441,38.0168783084944,29.7124722020891,24.12293933693,9.900604105426659,10.6214002649856,12.520118756646,6.345560258928652,6.971468812446481,5.05001491518799,4.09680736794855,7.25661456907029,4.80809154984087
LCADi,11288.803155878806,5874.471647874964,14726.074774811445,664.3910029087428,1239.2979774924993,260.8478733122561,709.2926347225557,499.69470682794787,431.53905770430157,6374.3149870847055,9095.782965535134,13595.053141562013,163.84739101970806,145.139600732264,114.93055580640774,151.3861602103274,189.12279695129737,149.17911197312768,12669.007201803468,14230.946430207136,6213.782145470797,36.87126631153697,60.921810684520366,41.34958732863152
LCARR,9.25207131812364,9.256226741768321,11.0684656964607,5.90884918986787,5.1273437622276505,8.06649302583747,4.58698436342021,6.14031631271631,5.7312122764467,9.21979762737719,7.95344614279345,9.47452212400538,4.61824754099668,6.77269586959383,3.60457714229988,8.96977807842074,5.56850110979829,6.52563765497914,7.8838778974568084,6.7536104120575295,7.8362300408089505,6.26570538627426,5.147133589689389,4.48755211318481
LCARS,46.685739179957224,42.82841420992802,49.63515085756603,24.93534358124242,24.49730908619879,23.16771834164944,28.72900732878971,22.761517366103547,22.71258198443692,42.72442168503549,42.81913446643454,37.76176443668335,18.472990163986715,18.934418560154793,16.775147469934048,54.74949449753034,51.35395467925089,40.82317509742764,41.85505908162029,42.26452967545673,33.60871995280286,66.99484989939396,44.383479806174094,63.14626902124342
LCTSabc,5.636319308741991,4.26080278589336,4.49656418918716,2.95442459493393,2.27881944987895,1.9697250411928704,4.34556413376651,4.86990604111983,3.5024075022729804,3.7361271431201697,4.7165785265403,4.0215597504771,1.07089798052097,1.5293184221663505,1.38637582396149,1.60779041028296,1.23744469106629,1.82110818278488,3.2048284136003304,2.61430080466743,1.91552289886441,1.20494334351428,1.1813093484533,1.06846478885353
LCTSt3ipp,20.843746877611803,17.777832313555038,24.039323934500597,134.48540756139272,120.5875292227612,159.7353211976882,83.77281968983209,60.767957991364895,60.8145302667399,20.9705200936422,19.51368762941187,18.40374801065792,301.524712640435,268.43179543358,368.63733159136103,174.9106725292041,160.3522078840061,158.967568455596,18.716197935425917,17.86438883189414,16.543152308374438,155.4376913133422,136.10371278965562,147.98237325621338
