,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
THIORDXi,542.9992164977372,552.5163333425022,593.6354796538101,1751.7987601738569,1512.232910276037,1489.3884465388012,1368.122913289694,1203.92415530251,1318.965756153415,448.6388903513216,588.285588151326,451.0835105435398,2118.590937163014,1777.5003383241929,2876.3446351993207,1715.411161089385,1810.9924686576599,1759.7116224418899,489.390485067971,466.08167354822126,440.4346692811364,946.3501868788221,1186.612659115092,1095.176644395779
THMDt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THMDt2pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THRabc,7.0782020772517,11.874560893580899,4.93325883368818,4.49467289332612,4.51412809037623,4.459246845924549,6.886524731323968,9.05962993120618,9.08239617856215,10.886512026405,12.310909169086,9.72162738240388,3.8184276428291,4.1546560303643,0.0,3.2184074316874,8.82454370217593,6.49340082081878,9.141789882963359,6.21442231397628,6.623077733550921,4.58280962168921,1.60461481962825,1.01593380741724
THRabcpp,38.4245255622235,62.166818795805995,26.310713779670237,19.102359796636012,20.764989215730658,24.971782337177448,27.546098925295873,37.24514527273654,39.357050107102644,44.6919967399784,63.313247155299514,47.31191992769884,21.6377566426982,22.8506081670036,5.27285909294102,18.50584273220256,37.25918452029839,28.13807022354805,47.53730739140948,33.14358567454014,26.492310934203683,29.78826254097983,18.453070425724853,14.223073303841318
THRD,121.34060703860071,97.09199789457361,83.86540017269898,69.6674298465549,66.8090957375682,51.727263412724845,50.5011813630424,44.29152410811909,38.3478949761514,87.66507052841926,86.17636418360223,75.82869358275019,36.9114672140146,41.546560303643005,32.9553693308814,57.9313337703733,74.51836904059674,75.7563429095524,98.73133073600428,103.57370523293788,104.31347430342697,32.07966735182441,34.49921862200738,28.446146607682536
THRD_L,965.668997682196,1024.7047547578381,943.896856845671,1157.378270031476,1211.5919794569809,1324.396313239593,943.4538881913841,1088.162217292653,1081.814300379848,1161.9919152394386,1015.650006449597,1051.8800827761,1776.205258522663,1774.038124965555,1774.3170847746549,1446.6741405434868,1261.909749411158,1341.969502969215,1006.206339784834,959.092510457006,993.4616600326381,985.3040686631791,979.617347383048,859.4800010749819
THRS,296.27331551925,254.953807421003,268.040396630391,341.5951398927849,335.851129923992,340.686459028636,447.624107536058,445.935117724926,388.52472541627,230.90864982322202,213.682209149136,189.24767971079498,389.47961956856795,342.066679833327,363.82727741293,535.864837375953,528.492117274759,520.193554645593,191.36813488336603,180.218247105312,177.167329372487,382.664603411049,482.18675329829,379.9592439740461
THRt2pp,52.58092971672689,66.3578402876582,36.1772314470466,46.0703971565928,46.0441065218376,51.7272634127248,50.501181363042406,62.4107839705314,55.50353220232429,46.983894008695295,36.9327275072581,54.441113341461715,40.72989485684371,43.6238883188251,43.5010875167634,52.2991207649203,61.7718059152315,50.504228606368294,48.146760050273706,45.57243030249271,51.3288524350196,22.914048108446003,17.6507630159108,15.2390071112585
THRt2r,2406.588706265574,2104.591292491725,2236.4106712719713,2066.4258627066874,1697.3121619814606,1941.5560767155514,2688.040153460118,2411.8748127966637,2371.514557735672,2685.5306246189557,2710.158718508795,2723.3518840574097,2805.9079128722465,2532.955293178764,2694.43099649286,2715.5312704862413,2419.885984107799,2652.1934908144235,3207.549343602411,3169.355380127897,3245.3080894399495,2295.987620466293,2224.7984474145665,2325.472485178054
