,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-H-R4,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
PGP140abcpp,363.06519907393,391.96618866039995,429.91121587631704,0,0,0,330.88366761041,316.609115354816,383.014982174173,532.782664631363,589.163316416541,541.211600719379,0,0,0,254.40842295437898,265.526135279181,279.69909274906297,548.791642642673,677.8392502389,574.394097486452,462.884065148276,377.622310564434,367.18256161331203,0,0,0,362.52459811107997,406.645098422689,373.592851146204,456.67395348383593,388.089590876181,331.977634198636,377.612535773652,0,0,0,424.516448456179,338.47042225793405,257.885536241486,1117.107180693236,868.7616258676351,1017.250363505972
PGP141abcpp,363.06519907393,391.96618866039995,429.91121587631704,0,0,0,330.88366761041,316.609115354816,383.014982174173,532.782664631363,589.163316416541,541.211600719379,0,0,0,254.40842295437898,265.526135279181,279.69909274906297,548.791642642673,677.8392502389,574.394097486452,462.884065148276,377.622310564434,367.18256161331203,0,0,0,362.52459811107997,406.645098422689,373.592851146204,456.67395348383593,388.089590876181,331.977634198636,377.612535773652,0,0,0,424.516448456179,338.47042225793405,257.885536241486,1117.107180693236,868.7616258676351,1017.250363505972
PGP160abcpp,363.06519907393,391.96618866039995,429.91121587631704,0,0,0,330.88366761041,316.609115354816,383.014982174173,532.782664631363,589.163316416541,541.211600719379,0,0,0,254.40842295437898,265.526135279181,279.69909274906297,548.791642642673,677.8392502389,574.394097486452,462.884065148276,377.622310564434,367.18256161331203,0,0,0,362.52459811107997,406.645098422689,373.592851146204,456.67395348383593,388.089590876181,331.977634198636,377.612535773652,0,0,0,424.516448456179,338.47042225793405,257.885536241486,1117.107180693236,868.7616258676351,1017.250363505972
PGP161abcpp,363.06519907393,391.96618866039995,429.91121587631704,0,0,0,330.88366761041,316.609115354816,383.014982174173,532.782664631363,589.163316416541,541.211600719379,0,0,0,254.40842295437898,265.526135279181,279.69909274906297,548.791642642673,677.8392502389,574.394097486452,462.884065148276,377.622310564434,367.18256161331203,0,0,0,362.52459811107997,406.645098422689,373.592851146204,456.67395348383593,388.089590876181,331.977634198636,377.612535773652,0,0,0,424.516448456179,338.47042225793405,257.885536241486,1117.107180693236,868.7616258676351,1017.250363505972
PGP180abcpp,363.06519907393,391.96618866039995,429.91121587631704,0,0,0,330.88366761041,316.609115354816,383.014982174173,532.782664631363,589.163316416541,541.211600719379,0,0,0,254.40842295437898,265.526135279181,279.69909274906297,548.791642642673,677.8392502389,574.394097486452,462.884065148276,377.622310564434,367.18256161331203,0,0,0,362.52459811107997,406.645098422689,373.592851146204,456.67395348383593,388.089590876181,331.977634198636,377.612535773652,0,0,0,424.516448456179,338.47042225793405,257.885536241486,1117.107180693236,868.7616258676351,1017.250363505972
PGP181abcpp,363.06519907393,391.96618866039995,429.91121587631704,0,0,0,330.88366761041,316.609115354816,383.014982174173,532.782664631363,589.163316416541,541.211600719379,0,0,0,254.40842295437898,265.526135279181,279.69909274906297,548.791642642673,677.8392502389,574.394097486452,462.884065148276,377.622310564434,367.18256161331203,0,0,0,362.52459811107997,406.645098422689,373.592851146204,456.67395348383593,388.089590876181,331.977634198636,377.612535773652,0,0,0,424.516448456179,338.47042225793405,257.885536241486,1117.107180693236,868.7616258676351,1017.250363505972
PGSA160,105.669664666909,136.2791535342468,88.0859124448794,0,0,0,117.08870051173699,136.81091493712012,94.5888581281718,121.36232599619791,102.7594100998332,112.1670818188813,0,0,0,118.20005236361762,144.0609644237063,139.15722188752872,179.2397461483123,177.9355255794734,173.8625672357087,79.4305057811915,83.2187441928601,97.39120798964211,0,0,0,96.80178098497971,128.9120645909483,109.4089141426434,86.68310007432049,135.9617677496598,151.7091967967676,135.2924055465552,0,0,0,75.7782519298461,72.505835342498,57.51227603293239,108.7414664536807,110.5804130941982,110.23583940581779
PHACOAOR,17.210982689150747,16.87127194234003,24.05390758485292,0,0,0,102.70629042627125,9.218080325983422,100.72393184912869,41.07016108162361,45.93619562904365,44.67856002727554,0,0,0,7.85817522639009,11.962478947887593,11.692591336044408,11.82166463216922,12.994883345053342,13.351051008358109,20.04870649251389,16.88223392751084,16.99919266728297,0,0,0,15.61941087606247,16.09493824182848,13.020662372387811,32.08346900942967,13.50923614630167,15.315285071746501,15.122504412389379,0,0,0,21.6258120356637,20.65317733998433,14.96054941581613,9.537000222429501,9.79933378069289,9.227726415168277
PHAPC100,0.288452223840516,0.799930997266123,0.5028691481153921,0,0,0,0.44117822348054603,0.7301449763155171,0.38829580512385803,0.513377013520295,0.21071649371121,0.7241257702961991,0,0,0,0.327423967766254,0.7157038686770358,0.307699772001169,0.749260434433261,0.217791340978548,0.697442963123185,0.646732467500449,0.753110807175205,0.7791296639171371,0,0,0,1.54265786430247,1.22046925056519,0.765921316022813,0.9897214090312509,1.0031610999729,0.5649080559250761,0.810134164949432,0,0,0,0.439549025115117,0.32957197882953604,0.24525490845600198,0.29495876976586105,0.5913391074556059,0.7098251088590971
PHAPC120,0.288452223840516,0.799930997266123,0.5028691481153921,0,0,0,0.44117822348054603,0.7301449763155171,0.38829580512385803,0.513377013520295,0.21071649371121,0.7241257702961991,0,0,0,0.327423967766254,0.7157038686770358,0.307699772001169,0.749260434433261,0.217791340978548,0.697442963123185,0.646732467500449,0.753110807175205,0.7791296639171371,0,0,0,1.54265786430247,1.22046925056519,0.765921316022813,0.9897214090312509,1.0031610999729,0.5649080559250761,0.810134164949432,0,0,0,0.439549025115117,0.32957197882953604,0.24525490845600198,0.29495876976586105,0.5913391074556059,0.7098251088590971
PHAPC121,0.288452223840516,0.799930997266123,0.5028691481153921,0,0,0,0.44117822348054603,0.7301449763155171,0.38829580512385803,0.513377013520295,0.21071649371121,0.7241257702961991,0,0,0,0.327423967766254,0.7157038686770358,0.307699772001169,0.749260434433261,0.217791340978548,0.697442963123185,0.646732467500449,0.753110807175205,0.7791296639171371,0,0,0,1.54265786430247,1.22046925056519,0.765921316022813,0.9897214090312509,1.0031610999729,0.5649080559250761,0.810134164949432,0,0,0,0.439549025115117,0.32957197882953604,0.24525490845600198,0.29495876976586105,0.5913391074556059,0.7098251088590971
