,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
3MBZDH,15.235015086210401,12.942574273459199,17.5681318518168,0,0,0,10.3729910529889,9.86287772931687,15.0984427579673,28.928667091851306,31.700512260625,29.3028651565758,0,0,0,7.319619066502678,8.15340357238008,11.355129058728599,7.97512194855983,8.82735291070883,8.44313874410303,20.0973959693178,20.021577875322894,19.2876148511535,0,0,0,18.4152465909908,20.3480997254837,19.3858206963133,14.3576097639797,19.4238042601551,17.2974248013894,0,0,0,22.845117591128396,15.223327275426,15.152378875586601,8.14102430052072,10.2486976626101,10.5457216091785
3MCAT23DOX,2.1348428783224698,2.3860611789058797,1.86264530477094,0,0,0,2.8863975103969,5.248136773397969,3.39109409537234,2.55553596217768,2.02492258933508,3.18352115281318,0,0,0,3.0233209187728503,2.68465727383246,3.38397885856151,36.4337150071049,34.0893709966398,58.6167333498647,3.05049760248574,2.3701556363310696,3.3825294701649904,0,0,0,4.33299919788019,4.53919147722329,4.72529379472636,3.7454634166903595,3.36943543288405,5.35543045452269,0,0,0,2.3632880266684504,2.05137034207868,3.29930830355514,12.5467550984496,12.2814971989956,10.2607021062278
3OADPCOAT,2.4259578162755298,1.879926989441,3.0902978920063195,0,0,0,1.80399844399806,3.0764939706126,1.85702771889438,1.83998589276793,1.67579800496696,1.80881883682567,0,0,0,3.1824430723924704,1.59090801412294,2.93278167741998,4.19743260450517,3.3012864544114304,2.8143795813676804,4.665466921448768,5.48878147360878,4.60599757639487,0,0,0,2.95431763491831,2.42611958265383,2.9684537941229703,3.12121951390864,2.90696390288036,3.38561695400859,0,0,0,3.93881337778075,2.91510522295392,4.03248792656739,6.99170322280015,3.81149913072278,3.70525353836002
3OAR100,65.30678441413738,52.71026058855719,63.71093599273308,0,0,0,76.94053363651727,73.02148924365788,80.65959526849936,174.38977405900494,194.88134299428287,167.93074081089463,0,0,0,50.7599670046599,50.90905645193415,52.79007019355961,67.15892167208277,70.11645360782535,65.02187308677048,71.5371594622146,57.19559785567342,70.52933788854648,0,0,0,66.07823776767292,69.34006291068685,65.7300482984371,66.97245299843956,71.15454825913972,71.71352275309117,0,0,0,184.07387852162037,163.893693646076,149.93523290600587,81.41024300520716,78.00868220879286,70.3285623531027
3OAR120,65.30678441413738,52.71026058855719,63.71093599273308,0,0,0,76.94053363651727,73.02148924365788,80.65959526849936,174.38977405900494,194.88134299428287,167.93074081089463,0,0,0,50.7599670046599,50.90905645193415,52.79007019355961,67.15892167208277,70.11645360782535,65.02187308677048,71.5371594622146,57.19559785567342,70.52933788854648,0,0,0,66.07823776767292,69.34006291068685,65.7300482984371,66.97245299843956,71.15454825913972,71.71352275309117,0,0,0,184.07387852162037,163.893693646076,149.93523290600587,81.41024300520716,78.00868220879286,70.3285623531027
3OAR121,65.30678441413738,52.71026058855719,63.71093599273308,0,0,0,76.94053363651727,73.02148924365788,80.65959526849936,174.38977405900494,194.88134299428287,167.93074081089463,0,0,0,50.7599670046599,50.90905645193415,52.79007019355961,67.15892167208277,70.11645360782535,65.02187308677048,71.5371594622146,57.19559785567342,70.52933788854648,0,0,0,66.07823776767292,69.34006291068685,65.7300482984371,66.97245299843956,71.15454825913972,71.71352275309117,0,0,0,184.07387852162037,163.893693646076,149.93523290600587,81.41024300520716,78.00868220879286,70.3285623531027
3OAR140,65.30678441413738,52.71026058855719,63.71093599273308,0,0,0,76.94053363651727,73.02148924365788,80.65959526849936,174.38977405900494,194.88134299428287,167.93074081089463,0,0,0,50.7599670046599,50.90905645193415,52.79007019355961,67.15892167208277,70.11645360782535,65.02187308677048,71.5371594622146,57.19559785567342,70.52933788854648,0,0,0,66.07823776767292,69.34006291068685,65.7300482984371,66.97245299843956,71.15454825913972,71.71352275309117,0,0,0,184.07387852162037,163.893693646076,149.93523290600587,81.41024300520716,78.00868220879286,70.3285623531027
3OAR141,65.30678441413738,52.71026058855719,63.71093599273308,0,0,0,76.94053363651727,73.02148924365788,80.65959526849936,174.38977405900494,194.88134299428287,167.93074081089463,0,0,0,50.7599670046599,50.90905645193415,52.79007019355961,67.15892167208277,70.11645360782535,65.02187308677048,71.5371594622146,57.19559785567342,70.52933788854648,0,0,0,66.07823776767292,69.34006291068685,65.7300482984371,66.97245299843956,71.15454825913972,71.71352275309117,0,0,0,184.07387852162037,163.893693646076,149.93523290600587,81.41024300520716,78.00868220879286,70.3285623531027
3OAR160,65.30678441413738,52.71026058855719,63.71093599273308,0,0,0,76.94053363651727,73.02148924365788,80.65959526849936,174.38977405900494,194.88134299428287,167.93074081089463,0,0,0,50.7599670046599,50.90905645193415,52.79007019355961,67.15892167208277,70.11645360782535,65.02187308677048,71.5371594622146,57.19559785567342,70.52933788854648,0,0,0,66.07823776767292,69.34006291068685,65.7300482984371,66.97245299843956,71.15454825913972,71.71352275309117,0,0,0,184.07387852162037,163.893693646076,149.93523290600587,81.41024300520716,78.00868220879286,70.3285623531027
3OAR161,65.30678441413738,52.71026058855719,63.71093599273308,0,0,0,76.94053363651727,73.02148924365788,80.65959526849936,174.38977405900494,194.88134299428287,167.93074081089463,0,0,0,50.7599670046599,50.90905645193415,52.79007019355961,67.15892167208277,70.11645360782535,65.02187308677048,71.5371594622146,57.19559785567342,70.52933788854648,0,0,0,66.07823776767292,69.34006291068685,65.7300482984371,66.97245299843956,71.15454825913972,71.71352275309117,0,0,0,184.07387852162037,163.893693646076,149.93523290600587,81.41024300520716,78.00868220879286,70.3285623531027
