,GeneID
WP_037180845_1,739318357
WP_005240833_1,491382952
WP_005244860_1,491386983
WP_025433874_1,645062596
WP_005251758_1,491393896
WP_005251757_1,491393895
WP_005240834_1,491382953
WP_005251756_1,491393894
WP_005244491_1,491386611
WP_043943654_1,763061892
WP_005250208_1,491392345
WP_005238761_1,491380879
WP_005250846_1,491392984
WP_005239478_1,491381596
WP_005247748_1,491389875
WP_037183009_1,739320527
WP_025433436_1,645062158
WP_005251426_1,491393564
WP_005249246_1,491391380
WP_005251656_1,491393794
WP_005250338_1,491392475
WP_005244212_1,491386331
WP_025433596_1,645062318
WP_025431976_1,645060698
WP_037179656_1,739317164
WP_005249294_1,491391428
WP_005249295_1,491391429
WP_025432032_1,645060754
WP_005241096_1,491383215
WP_025431856_1,645060578
WP_025432825_1,645061547
WP_005248221_1,491390348
WP_005238326_1,491380443
WP_187300152_1,1897645965
WP_005240024_1,491382142
WP_005241352_1,491383471
WP_005240047_1,491382165
WP_025433324_1,645062046
WP_005242647_1,491384766
WP_005252752_1,491394890
WP_005250319_1,491392456
WP_025433009_1,645061731
WP_037182446_1,739319962
WP_005247836_1,491389963
WP_005246527_1,491388654
WP_005243789_1,491385908
WP_005244981_1,491387104
WP_005239876_1,491381994
WP_005250477_1,491392614
WP_005249923_1,491392059
WP_005251018_1,491393156
